Aggloteile2	Erwerbstätigen	Erwerbslosen
Basel: Agglomeration	414368.702	24348.827929
Basel: Kernstadt	83738.206047	6188.4633687
Basel: Übrige Agglomerationsgemeinden Schweiz	182939.49595	8606.3645603
Basel: Agglomerationsgemeinden Deutschland	104140	3840
Basel: Agglomerationsgemeinden Frankreich	43551	5714
......		
Bern: Agglomeration	221643.28867	9267.9057124
Bern: Kernstadt	73394.811075	3601.643848
Bern: Übrige Agglomerationsgemeinden Schweiz	148248.47759	5666.2618644
.........		
Genf: Agglomeration	410002.78916	48630.393125
Genf: Kernstadt	84945.237449	11211.682216
Genf: Übrige Agglomerationsgemeinden Schweiz	168916.55171	17444.710909
Genf: Agglomerationsgemeinden Frankreich	156141	19974
.............		
Lausanne: Agglomeration	208005.44386	17181.174596
Lausanne: Kernstadt	67415.363205	7359.0579309
Lausanne: Übrige Agglomerationsgemeinden Schweiz	140590.08065	9822.116665
................		
Zürich: Agglomeration	739254.94865	35931.71755
Zürich: Kernstadt	233253.71921	12116.346909
Zürich: Übrige Agglomerationsgemeinden Schweiz	506001.22944	23815.370642
