Aggloteile2	1. Sektor	2. Sektor	3. Sektor
Basel: Agglomeration	4039	83395	278656
Basel: Kernstadt	22	36407	148697
Basel: CH Agglomerationsgürtel	4017	46988	129959
Basel: DE Agglomerationsgürtel	496	26931	46141
Basel: FR Agglomerationsgürtel	636.7	7545	18475
......			
Bern: Agglomeration	7727	42431	270083
Bern: Kernstadt	302	15247	172682
Bern: CH Agglomerationsgürtel	7425	27184	97401
.........			
Genève: Agglomeration	3134	52376	333943
Genève: Kernstadt	49	9874	170177
Genève: CH Agglomerationsgürtel	3085	42502	163766
Genève: FR Agglomerationsgürtel	1568	13405	63172
.............			
Lausanne: Agglomeration	4999	36838	221020
Lausanne: Kernstadt	113	6143	112858
Lausanne: CH Agglomerationsgürtel	4886	30695	108162
................			
Zürich: Agglomeration	9443	127549	815692
Zürich: Kernstadt	236	28748	443412
Zürich: CH Agglomerationsgürtel	9207	98801	372280
