JahrBezirk	Schweiz. Aggl. BS	Übrige Schweiz	Ausland	Unbekannt	Total
2006: Klybeck	-54	14	98	-39	19
2006: Kleinhüningen	-41	5	22	-12	-26
.					
2007: Klybeck	-68	8	65	-31	-26
2007: Kleinhüningen	-52	7	46	-19	-18
..					
2008: Klybeck	-30	7	100	-37	40
2008: Kleinhüningen	-17	-18	93	-26	32
...					
2009: Klybeck	-61	5	171	-38	77
2009: Kleinhüningen	-27	-6	66	-4	29
....					
2010: Klybeck	-58	27	53	-76	-54
2010: Kleinhüningen	-14	14	61	-77	-16
....					
2011: Klybeck	-60	-13	120	-49	-2
2011: Kleinhüningen	10	-2	65	-21	52
....					
2012: Klybeck	-66	-3	122	-61	-8
2012: Kleinhüningen	-16	9	107	-25	75
....					
2013: Klybeck	-70	4	124	-58	0
2013: Kleinhüningen	-12	-6	77	-26	33
....					
2014: Klybeck	-39	20	96	-59	18
2014: Kleinhüningen	-46	-12	62	-26	-22
....					
2015: Klybeck	-69	15	98	-52	-8
2015: Kleinhüningen	-33	15	48	-23	7
....					
2016: Klybeck	-63	-24	115	-60	-32
2016: Kleinhüningen	-39	-8	56	-16	-7
....					
2017: Klybeck	-36	32	82	-51	27
2017: Kleinhüningen	-39	0	24	-15	-30
....					
2018: Klybeck	-36	-13	146	-47	50
2018: Kleinhüningen	-22	-4	30	-19	-15
