JahrBezirk	Evangelisch-reformiert	Römisch-katholisch	Christkatholisch	Israelitisch	Andere, ohne oder unbek. Zugeh.
2000: Klybeck	991	1191	9	4	4878
2000: Kleinhüningen	419	474	11		1458
.					
2001: Klybeck	951	1141	9	3	4904
2001: Kleinhüningen	406	457	9		1491
..					
2002: Klybeck	918	1112	7	4	4974
2002: Kleinhüningen	385	464	8		1609
...					
2003: Klybeck	863	1125	6	3	5041
2003: Kleinhüningen	379	438	7		1680
....					
2004: Klybeck	838	1042	8	3	5112
2004: Kleinhüningen	360	404	6		1710
....					
2005: Klybeck	815	1007	10	3	5182
2005: Kleinhüningen	337	400	5		1818
....					
2006: Klybeck	804	1017	10	3	5288
2006: Kleinhüningen	332	382	4		1840
....					
2007: Klybeck	790	1017	10	2	5207
2007: Kleinhüningen	334	369	4		1835
....					
2008: Klybeck	777	1039	13	2	5295
2008: Kleinhüningen	304	366	4		1879
....					
2009: Klybeck	764	1007	18	1	5440
2009: Kleinhüningen	289	371	4		1975
....					
2010: Klybeck	743	931	19	1	5455
2010: Kleinhüningen	272	354	3		1995
....					
2011: Klybeck	700	915	35	2	5602
2011: Kleinhüningen	257	351	7		2084
....					
2012: Klybeck	677	894	49	2	5646
2012: Kleinhüningen	264	370	11		2232
....					
2013: Klybeck	629	888	30	2	5745
2013: Kleinhüningen	268	352	11		2247
....					
2014: Klybeck	616	862	31	3	5836
2014: Kleinhüningen	243	334	10		2289
....					
2015: Klybeck	599	828	30	5	5819
2015: Kleinhüningen	245	335	4		2316
....					
2016: Klybeck	552	781	32	3	5834
2016: Kleinhüningen	243	319	4		2327
....					
2017: Klybeck	538	767	30	2	5918
2017: Kleinhüningen	224	302	5		2313
....					
2018: Klybeck	538	755	23	8	5969
2018: Kleinhüningen	227	299	7		2325
