Steuerjahr	Mittelwert Klybeck	Median Klybeck	Mittelwert Kleinhüningen	Median Kleinhüningen	Mittelwert Stadt Basel	Median Stadt Basel
2005	44672	41870.5	45554	41856.5	357146	10074.5
2006	44314	41565.0	45715	41584.0	377414	9621.0
2007	44955	41678.5	45914	42523.5	364105	9531
2008	42861	39481.5	43807	40363.0	342848	10338
2009	42727	39440.0	43199	40213.0	366595	10551.5
2010	42403	38528.0	42674	39383.0	349958	11060
2011	42347	38489.0	43744	40608.5	331962	12459.5
2012	41688	37928.5	44965	40968.0	381369	14117.5
2013	42571	38251.0	46638	41468.0	424788	13100
2014	42361	38332.0	45488	41881.0	467481	14326
2015	42281	37400.0	45955	41403.0	405490	14519
2016	41703	36802.5	46046	41368.0	441129	16352.5
2017	41569	36178.0	45664	40315.0	391064	17583
2018	42095	36481.0	45220	39860.0	388670	16914
2019	41971	36478.0	45039	39848.0	485502	17264
2020	42592	36813.0	44788	39587.0	495098	19328
2021	43423	37534.0	44597	39088.0	565189	20870
2022	43766	37996.0	45703	40440.0	470305	19069

