jahr	Leerwohnungsquote in % Klybeck Kleinhüningen	Leerwohnungen Klybeck Kleinhüningen	Wohnungen Klybeck Kleinhüningen
2000	1.236820762	61	4932
2001	2.474143176	122	4931
2002	1.21703854	60	4930
2003	2.292839903	114	4972
2004	2.098466505	104	4956
2005	1.453371013	72	4954
2006	1.956135151	99	5061
2007	1.716992303	87	5067
2008	1.699604743	86	5060
2009	1.225296443	62	5060
2010	0.849802372	43	5060
2011	0.395178818	20	5061
2012	0.388123423	20	5153
2013	0.310318076	16	5156
2014	0.237388724	12	5055
2015	0.177619893	9	5067
2016	0.215897939	11	5095
2017	0.411442006	21	5104
2018	0.430359937	22	5112
2019	0,604760047	31	5126
