Jahr	Neubau KlybeckKleinhüningen	Neubau Klybeck	Neubau Kleinhüningen	Abbruch KlybeckKleinhüningen	Abbruch Klybeck	Abbruch Kleinhüningen	Umbausaldo KlybeckKleinhüningen	Umbausaldo Klybeck	Umbausaldo Kleinhüningen	Nettowohnungsproduktion KlybeckKleinhüningen	Nettowohnungsproduktion Klybeck	Nettowohnungsproduktion Kleinhüningen
2004	0	0	0	0	0	0	-2	-2	0	-2	-2	0
2005	109	109	0	0	0	0	-2	-2	0	107	107	0
2006	8	8	0	-2	-2	0	0	0	0	6	6	0
2007	0	0	0	0	0	0	-6	-6	0	-6	-6	0
2008	0	0	0	0	0	0	1	-2	3	1	-2	3
2009	0	0	0	0	0	0	-2	-2	0	-2	-2	0
2010	0	0	0	0	0	0	0	3	-3	0	3	-3
2011	99	0	99	0	0	0	-8	-2	-6	91	-2	93
2012	0	0	0	0	0	0	5	5	0	5	5	0
2013	0	0	0	0	0	0	2	2	0	2	2	0
2014	0	0	0	0	0	0	0	0	0	0	0	0
2015	0	0	0	0	0	0	0	0	0	0	0	0
2016	0	0	0	0	0	0	5	4	1	5	4	1
2017	0	0	0	-1	0	-1	3	3	0	2	3	-1
2018	8	8	0	-1	0	-1	2	2	0	9	10	-1

