JAHR	Familienmietzinsbeiträge	Prämienverbilligungen
2011	2.5641025641	20.016542597
2011	2.3946912868	22.013848817
2012	3.3255993813	19.180201083
2012	3.2454361055	22.631121414
2013	3.7955073586	19.287374129
2013	3.8572251007	22.970639033
2014	4.0593286495	19.906323185
2014	4.1162924583	23.488773748
2015	4.5383411581	20.970266041
2015	4.4340723454	23.016336056
2016	5.2466718872	22.474549726
2016	4.8277892258	23.932881955
2017	5.0314465409	23.270440252
2017	4.6865846514	23.491505565
2018	5.1424050633	23.338607595
2018	4.8495471808	25.007303535
