""	Erdgas	Heizöl	Fernwärme	Anderer Energieträger	Kein Energieträger
2013: Klybeck	126	70	315	199	2
2013: Kleinhüningen	46	55	142	90	6
2013: Basel	8084	4981	7348	3401	152
.
2014: Klybeck	145	59	315	194	2
2014: Kleinhüningen	52	51	141	137	5
2014: Basel	8788	4316	7478	3334	150
..
2015: Klybeck	145	59	313	188	2
2015: Kleinhüningen	52	52	140	136	5
2015: Basel	8708	4363	7532	3416	132
...
2016: Klybeck	116	62	333	195	2
2016: Kleinhüningen	57	39	143	142	6
2016: Basel	9121	3452	7944	3487	111
....
2017: Klybeck	121	62	327	193	2
2017: Kleinhüningen	57	39	140	135	6
2017: Basel	9118	3478	7892	3453	123
.....
2018: Klybeck	120	59	335	190	2
2018: Kleinhüningen	59	40	138	124	6
2018: Basel	9184	3300	8125	3264	127
