"Codegeo"	"GemeindeDescr"	"Bevölkerungsdichte"
08336006	Bad Bellingen	303.3970276
08336006	Bad Bellingen	474.49494949
08336006	Bad Bellingen	518.2444062
08336006	Bad Bellingen	253.92793857
08336006	Bad Bellingen	179.37336815
08336008	Binzen	107.21544715
08336008	Binzen	509.43396226
08336008	Binzen	518.2444062
08336008	Binzen	1021.5753425
08336008	Binzen	197.21079104
08336014	Efringen-Kirchen	703.66197183
08336014	Efringen-Kirchen	78.848920863
08336014	Efringen-Kirchen	4282.0224719
08336014	Efringen-Kirchen	197.21079104
08336014	Efringen-Kirchen	206.20842572
08336019	Eimeldingen	703.66197183
08336019	Eimeldingen	1097.9094077
08336019	Eimeldingen	413.38028169
08336019	Eimeldingen	655.85331453
08336019	Eimeldingen	413.22751323
08336024	Fischingen	94.515852614
08336024	Fischingen	879.11111111
08336024	Fischingen	843.10051107
08336024	Fischingen	413.22751323
08336024	Fischingen	292.52669039
08336034	Hasel	94.515852614
08336034	Hasel	5547.6377953
08336034	Hasel	461.28404669
08336034	Hasel	3267.3366834
08336034	Hasel	5787.4213836
08336036	Hausen im Wiesental	461.28404669
08336036	Hausen im Wiesental	412.30769231
08336036	Hausen im Wiesental	270.67510549
08336036	Hausen im Wiesental	502.48344371
08336036	Hausen im Wiesental	488.77980365
08336043	Inzlingen	772.83950617
08336043	Inzlingen	270.67510549
08336043	Inzlingen	1266.4516129
08336043	Inzlingen	1941.1111111
08336043	Inzlingen	134.15770034
08336045	Kandern	159.46902655
08336045	Kandern	7459.0233546
08336045	Kandern	1248.4271943
08336045	Kandern	993.86503067
08336045	Kandern	134.15770034
08336050	Lörrach	4992.1348315
08336050	Lörrach	3856.7567568
08336050	Lörrach	414.89051095
08336050	Lörrach	1248.4271943
08336050	Lörrach	34.10543131
08336057	Maulburg	2350.305499
08336057	Maulburg	36.459403905
08336057	Maulburg	435.45734841
08336057	Maulburg	446.51394422
08336057	Maulburg	57.454545455
08336069	Rheinfelden (Baden)	3707.8947368
08336069	Rheinfelden (Baden)	276.9005848
08336069	Rheinfelden (Baden)	522.85168682
08336069	Rheinfelden (Baden)	739.11719939
08336069	Rheinfelden (Baden)	48.361522199
08336073	Rümmingen	181.05134474
08336073	Rümmingen	2851.3416816
08336073	Rümmingen	418.60986547
08336073	Rümmingen	88.775510204
08336073	Rümmingen	1114.4055944
08336075	Schallbach	317.89473684
08336075	Schallbach	125.91623037
08336075	Schallbach	53.745318352
08336075	Schallbach	310.54852321
08336075	Schallbach	199.49367089
08336081	Schopfheim	96.10123119
08336081	Schopfheim	316.89189189
08336081	Schopfheim	291.60047073
08336081	Schopfheim	138.25545171
08336081	Schopfheim	125.36443149
08336082	Schwörstadt	79.746363297
