	Ja	Nein	Keine Angabe
Familienform			
Einelternfamilie	77.9	17.6	4.4
Zweielternfamilie	70.7	25.7	3.6
Anzahl Kinder			
1 Kind	72.6	23.3	4.1
2 Kinder	70.5	25.6	3.9
3 Kinder u.m.	72.5	23.5	4.0
Alter jüngstes Kind			
0-4 Jahre	69.3	26.1	4.6
5-8 Jahre	74.7	22.8	2.5
9-12 Jahre	69.7	27.1	3.2
13-17 Jahre	74.0	22.1	3.9
Bildungsniveau Eltern			
Obligat. Schule	66.7	18.1	15.2
Sekundarstufe II	75.4	20.3	4.3
Tertiärstufe	70.0	27.6	2.4
Haushaltssprache			
ch/dt	71.3	26.3	2.4
ch/dt und andere	73.6	22.3	4.1
nur andere	68.3	22.0	9.8
Haushaltseinkommen			
<3000 Fr.	77.5	11.7	10.8
3000-7499 Fr.	73.6	21.0	5.3
>7499 Fr.	69.8	28.7	1.5
Wahlkreis			
Grossbasel Ost	71.6	24.8	3.6
Grossbasel West	71.8	24.6	3.6
Kleinbasel	72.1	22.9	5.1
Riehen, Bettingen	71.9	25.3	2.8
Befragungsjahr			
2009	71.7	21.2	7.1
2013	72.7	22.3	5.0
2017	71.7	24.4	4.0
