	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht / keine Angabe
Einpersonenhaushalt	49.8	41.1	6.3	0.6	2.2
Mehrpersonenhaushalt	55.4	39	3.5	0.3	1.8
.					
Männlich	52.1	40	4.5	0.6	2.8
Weiblich	55	39.6	4.3	0.2	1
..					
55-64	49.5	42.8	5.5	0.6	1.7
65-74	54.5	38.5	4.4	0.2	2.3
>74	56.6	38	3.2	0.4	1.7
...					
Schweiz	54.5	39.5	3.7	0.4	1.9
Ausland	43	41.1	14	0.9	0.9
....					
<5000 Fr.	43.8	45.6	7.6	1.1	1.8
5000- 7499 Fr.	52.9	42.8	3.4	0	0.9
>7499 Fr.	63.5	32.5	2	0.2	1.8
.....					
Grossbasel Ost	57.2	37.4	3.5	0.7	1.2
Grossbasel West	53.4	39.7	4.6	0.2	2.1
Kleinbasel	45.8	46.5	4.5	0	3.1
Riehen, Bettingen	57.5	35.3	4.8	0.8	1.6
......					
2011	52.9	39.7	5.2	0.1	2.1
2015	53.4	39.7	4.5	0.4	2
