"Wohnviertel_ID"	"Wohnviertel_Name"	"Ausländeranteil der Jugendlichen 2018 (%)"	"Veränderung gegenüber 2009"
01	"Altstadt Grossbasel"	28.9063	9.2093
02	"Vorstädte"	32.6226	-2.8302
03	"Am Ring"	32.3699	0.2180
04	"Breite"	29.8981	2.6155
05	"St. Alban"	30.1415	7.3154
06	"Gundeldingen"	33.2155	-1.7887
07	"Bruderholz"	18.5143	1.9816
08	"Bachletten"	15.9817	-0.3356
09	"Gotthelf"	22.1311	-0.7674
10	"Iselin"	32.2144	-0.2346
11	"St. Johann"	34.9299	-2.9183
12	"Altstadt Kleinbasel"	37.3057	2.6600
13	"Clara"	42.0000	-3.4545
14	"Wettstein"	28.3451	4.3384
15	"Hirzbrunnen"	20.3529	4.3224
16	"Rosental"	48.3911	8.5210
17	"Matthäus"	43.8426	-3.3620
18	"Klybeck"	45.1306	-4.3400
19	"Kleinhüningen"	44.9231	-12.3372
20	"Riehen"	22.5013	6.4626
30	"Bettingen"	30.5556	0.4942

