	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
Familienform						
Einelternfamilie	18.4	37.9	30.5	10.3	1.1	1.8
Zweielternfamilie	16.3	41.1	28.3	11.4	0.7	2.3
Anzahl Kinder						
1 Kind	15.5	35.2	32.0	14.2	1.2	1.8
2 Kinder	16.1	42.0	30.0	9.6	0.3	2.0
3 Kinder u.m.	19.5	45.9	20.7	9.6	0.8	3.4
Alter jüngstes Kind						
0-4 Jahre	10.0	37.4	34.4	14.9	0.7	2.6
5-8 Jahre	11.3	39.8	31.9	14.8	0.5	1.6
9-12 Jahre	26.0	44.8	19.5	7.9	0.4	1.4
13-17 Jahre	25.4	44.0	22.9	4.4	1.0	2.3
Bildungsniveau Eltern						
Obligat. Schule	25.7	36.2	19.0	6.7	2.9	9.5
Sekundarstufe II	16.8	40.9	28.6	9.8	0.9	3.1
Tertiärstufe	15.3	41.1	30.1	12.4	0.3	0.8
Haushaltssprache						
ch/dt	12.4	42.5	30.9	12.8	0.1	1.3
ch/dt und andere	20.0	38.4	28.3	10.3	0.8	2.3
nur andere	24.4	37.8	22.0	8.1	2.4	5.3
Haushaltseinkommen						
<3000 Fr.	19.8	31.5	27.9	10.8	0.9	9.0
3000-7499 Fr.	14.0	37.9	29.8	13.8	1.0	3.4
>7499 Fr.	17.5	42.9	29.0	9.6	0.4	0.6
Wahlkreis						
Grossbasel Ost	20.2	40.2	25.5	11.8	0.7	1.4
Grossbasel West	14.0	44.3	27.7	10.6	0.3	3.1
Kleinbasel	13.0	35.1	33.2	15.2	1.9	1.6
Riehen, Bettingen	23.3	43.5	26.5	5.5	0.0	1.2
Befragungsjahr						
2009	12.2	39.2	32.0	12.9	1.2	2.5
2013	14.2	38.1	30.6	13.6	0.6	3.0
2017	16.6	40.5	28.7	11.2	0.7	2.2
