Publikationsjahr	Indikator_Nr	jahr_num	jahr_char	Wert	Indikator_Label	Indikator_Name	Wohnviertel_id	Wohnviertel	Rang
2017	1	2016	2016	0.0192458759	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	1	Altstadt Grossbasel	3
2017	1	2016	2016	0.0292712067	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	2	Vorstädte	5
2017	1	2016	2016	0.0358673374	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	3	Am Ring	8
2017	1	2016	2016	0.0574082363	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	4	Breite	12
2017	1	2016	2016	0.0297356828	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	5	St. Alban	6
2017	1	2016	2016	0.0721360097	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	6	Gundeldingen	14
2017	1	2016	2016	0.0155299739	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	7	Bruderholz	2
2017	1	2016	2016	0.0260689757	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	8	Bachletten	4
2017	1	2016	2016	0.0440251572	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	9	Gotthelf	9
2017	1	2016	2016	0.0941134157	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	10	Iselin	17
2017	1	2016	2016	0.0874826741	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	11	St. Johann	16
2017	1	2016	2016	0.0721153846	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	12	Altstadt Kleinbasel	13
2017	1	2016	2016	0.0797912006	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	13	Clara	15
2017	1	2016	2016	0.0478045326	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	14	Wettstein	11
2017	1	2016	2016	0.0474539545	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	15	Hirzbrunnen	10
2017	1	2016	2016	0.1051587302	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	16	Rosental	18
2017	1	2016	2016	0.1200878845	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	17	Matthäus	19
2017	1	2016	2016	0.1362121633	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	18	Klybeck	20
2017	1	2016	2016	0.1431040442	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	19	Kleinhüningen	21
2017	1	2016	2016	0.0354745012	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	20	Riehen	7
2017	1	2016	2016	0.012605042	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	30	Bettingen	1
2017	2	2016	2016	0.2706205813	Anteil&nbsp;Ausländer	Auslaenderanteil	1	Altstadt Grossbasel	6
2017	2	2016	2016	0.3823178017	Anteil&nbsp;Ausländer	Auslaenderanteil	2	Vorstädte	14
2017	2	2016	2016	0.3487982113	Anteil&nbsp;Ausländer	Auslaenderanteil	3	Am Ring	11
2017	2	2016	2016	0.3239704566	Anteil&nbsp;Ausländer	Auslaenderanteil	4	Breite	10
2017	2	2016	2016	0.3163546256	Anteil&nbsp;Ausländer	Auslaenderanteil	5	St. Alban	8
2017	2	2016	2016	0.3906043112	Anteil&nbsp;Ausländer	Auslaenderanteil	6	Gundeldingen	15
2017	2	2016	2016	0.2415291051	Anteil&nbsp;Ausländer	Auslaenderanteil	7	Bruderholz	3
2017	2	2016	2016	0.2177830293	Anteil&nbsp;Ausländer	Auslaenderanteil	8	Bachletten	1
2017	2	2016	2016	0.2776071376	Anteil&nbsp;Ausländer	Auslaenderanteil	9	Gotthelf	7
2017	2	2016	2016	0.3751348759	Anteil&nbsp;Ausländer	Auslaenderanteil	10	Iselin	12
2017	2	2016	2016	0.4340014927	Anteil&nbsp;Ausländer	Auslaenderanteil	11	St. Johann	16
2017	2	2016	2016	0.3766025641	Anteil&nbsp;Ausländer	Auslaenderanteil	12	Altstadt Kleinbasel	13
2017	2	2016	2016	0.463335819	Anteil&nbsp;Ausländer	Auslaenderanteil	13	Clara	17
2017	2	2016	2016	0.3179886686	Anteil&nbsp;Ausländer	Auslaenderanteil	14	Wettstein	9
2017	2	2016	2016	0.2399783315	Anteil&nbsp;Ausländer	Auslaenderanteil	15	Hirzbrunnen	2
2017	2	2016	2016	0.5573870574	Anteil&nbsp;Ausländer	Auslaenderanteil	16	Rosental	21
2017	2	2016	2016	0.5062146893	Anteil&nbsp;Ausländer	Auslaenderanteil	17	Matthäus	19
2017	2	2016	2016	0.5166620383	Anteil&nbsp;Ausländer	Auslaenderanteil	18	Klybeck	20
2017	2	2016	2016	0.4690632561	Anteil&nbsp;Ausländer	Auslaenderanteil	19	Kleinhüningen	18
2017	2	2016	2016	0.2554164087	Anteil&nbsp;Ausländer	Auslaenderanteil	20	Riehen	5
2017	2	2016	2016	0.2478991597	Anteil&nbsp;Ausländer	Auslaenderanteil	30	Bettingen	4
2017	3	2016	2016	0.5161036921	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	1	Altstadt Grossbasel	18
2017	3	2016	2016	0.5459976105	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	2	Vorstädte	20
2017	3	2016	2016	0.5071734675	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	3	Am Ring	17
2017	3	2016	2016	0.4905998209	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	4	Breite	14
2017	3	2016	2016	0.4913729809	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	5	St. Alban	15
2017	3	2016	2016	0.4513532122	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	6	Gundeldingen	4
2017	3	2016	2016	0.4768679409	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	7	Bruderholz	11
2017	3	2016	2016	0.4749279965	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	8	Bachletten	10
2017	3	2016	2016	0.4942226123	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	9	Gotthelf	16
2017	3	2016	2016	0.4521040643	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	10	Iselin	5
2017	3	2016	2016	0.4664676405	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	11	St. Johann	8
2017	3	2016	2016	0.5612980769	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	12	Altstadt Kleinbasel	21
2017	3	2016	2016	0.4789957743	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	13	Clara	12
2017	3	2016	2016	0.529213881	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	14	Wettstein	19
2017	3	2016	2016	0.4895991333	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	15	Hirzbrunnen	13
2017	3	2016	2016	0.4252136752	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	16	Rosental	3
2017	3	2016	2016	0.4620213434	Anteil&nbsp;Personen&nbsp;ohne Religionszugehörigkeit	Anteilkonfessionslose	17	Matthäus	7
