	Sehr gern	Eher gern	Eher ungern	Ganz ungern	Weiss nicht	Keine Angabe
*Geschlecht						
Männlich	63.2	29.8	3.1	1	0.7	2.2
Weiblich	69.9	24.5	2.9	1.1	0.3	1.4
*Haushaltseinkommen						
<3 000 Fr.	60.3	27.4	4.4	3.2	1.6	3.2
3 000-7 499 Fr.	66.6	27.9	3	0.8	0.2	1.4
>7 499 Fr.	69.9	25.7	2	0.6	0.1	1.6
*Wahlkreis						
Grossbasel Ost	73.2	23.9	1.4	0.5	0.7	0.4
Grossbasel West	67.9	26.4	3.7	0.9	0.4	0.7
Kleinbasel	59.3	33.4	4.5	2.2	0.2	0.4
Riehen, Bettingen	71.6	24.8	2.5	0.4	0	0.7
*Haushaltsform						
Single-HH	65.8	26.7	3.6	1.5	0.6	1.8
Übrige HH o. K.	67.8	27.2	2.4	0.7	0.5	1.5
HH m. mind. 1 K	67.9	26.1	3	0.8	0	2.2
*Alter						
18-29 Jahre	57.4	37.4	3.9	0.6	0	0.6
30-39 Jahre	57.1	36.3	3.4	0.9	0.3	1.9
40-49 Jahre	69.8	23.9	3.3	1.3	0.3	1.3
50-59 Jahre	67.3	26.1	3.3	1.4	0.8	1.1
60-69 Jahre	66.7	26.2	3.9	1.1	0.6	1.7
>69 Jahre	74.7	20.1	1.5	0.7	0.4	2.6
*Staatsangehörigkeit						
Schweiz	69.7	24.8	2.6	0.9	0.5	1.5
Ausland	57.7	33.8	4.5	1.6	0.2	2.2
*Befragungsjahr						
2003	65.8	27.8	4.4	1.6	0.4	0
2005	61.5	29.5	7.7	1	0.3	0
2007	62.1	31	5.7	0.9	0.3	0
2011	68.8	26	4.2	1	0	0
2015	68.3	28.7	2.1	0.7	0.2	0
2019	67	26.8	3	1	0.4	1.8
