
	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht / keine Angabe
Einpersonenhaushalt	26.3	49.8	9.9	2.6	11.5
Mehrpersonenhaushalt	31.3	50.8	10	1.1	6.8
.					
Männlich	33.9	46	8.1	2	10
Weiblich	24.2	55.8	12.4	1.1	6.4
..					
55-64	36.5	48	9.2	0.4	5.9
65-74	27.2	55.2	8.2	2.3	7.2
>74	25.3	48.2	12.3	2.2	12.1
...					
Schweiz	29.8	50.3	9.7	1.6	8.6
Ausland	27.1	51.4	13.1	1.9	6.5
....					
<5000 Fr.	28.4	49.2	8.9	1.8	11.6
5000- 7499 Fr.	28.7	53.2	10.7	1.5	5.8
>7499 Fr.	34.3	49	10	1.6	5.1
.....					
Grossbasel Ost	29	47.8	10.1	2.2	10.9
Grossbasel West	27.6	53.7	10.7	0.9	7.1
Kleinbasel	33.3	50.7	7.6	1.4	6.9
Riehen, Bettingen	30.6	51.6	9.1	1.6	7.1
......					
2011	27.2	50.8	9.3	1.3	11.4
2015	29.5	50.5	10	1.6	8.5
