	Regelmässig	Hin und wieder	Selten	Nie	Nicht möglich/nicht vorhanden	Keine Angabe
Einpersonenhaushalt	0.8	1.6	4.7	60.3	12.8	19.8
Mehrpersonenhaushalt	0.1	1.1	1.3	78.4	6.6	12.5
.						
Männlich	0.6	1.8	2.6	67.8	9.6	17.5
Weiblich	0	0.6	2.4	77.4	8	11.6
..						
55-64	0.4	2.5	3.1	80.1	6.3	7.5
65-74	0	0.6	2.1	75.2	9.9	12.2
>74	0.4	0.6	2.4	60.5	10.2	25.9
...						
Schweiz	0.3	1.3	2.7	71.7	8.9	15.2
Ausland	0	0.9	0.9	74.8	8.4	15
....						
<5000 Fr.	0.9	2.2	4.7	58.4	11.9	21.9
5000- 7499 Fr.	0	1.2	1.5	77.1	6.7	13.5
>7499 Fr.	0.2	0.4	1.1	84.6	5.8	7.8
.....						
Grossbasel Ost	0.2	1.2	3.2	71	9.2	15.1
Grossbasel West	0.5	0.9	2.3	73.1	10	13.2
Kleinbasel	0	1.4	2.4	70.1	9	17
Riehen, Bettingen	0.4	1.2	2.4	75.8	6	14.3
......						
2011	0.5	1.5	1.6	67.9	9.1	19.4
2015	0.4	1.3	2.5	72	8.8	15.1
