"WohnviertelId"	"Wohnviertel_Name"	"2022"	"Differenz 2022 zu 2017"
01	Altstadt Grossbasel	8.58	-0.30
02	Vorstädte	9.29	0.81
03	Am Ring	11.98	1.50
04	Breite	16.99	1.40
05	St. Alban	10.57	1.13
06	Gundeldingen	16.26	0.48
07	Bruderholz	11.33	1.95
08	Bachletten	12.05	1.30
09	Gotthelf	14.01	1.14
10	Iselin	19.25	2.09
11	St. Johann	20.99	2.31
12	Altstadt Kleinbasel	14.91	1.74
13	Clara	18.00	1.59
14	Wettstein	12.63	0.61
15	Hirzbrunnen	17.64	2.38
16	Rosental	19.49	2.54
17	Matthäus	20.92	1.56
18	Klybeck	26.49	3.00
19	Kleinhüningen	26.88	3.61
20	Riehen	10.54	0.71
30	Bettingen	10.85	-1.13
