Schuljahr	Diphtherie/Tetanus	Hepatitis B	Masern	Poliomyelitis	Pertussis	HPV
1999/2000	0.873	0.690	0.717	0.868		
2000/01	0.805	0.668	0.815	0.910		
2001/02	0.849	0.697	0.824	0.930		
2002/03	0.822	0.740	0.816	0.913		
2003/04	0.859	0.722	0.847	0.926		
2004/05	0.821	0.686	0.830	0.913		
2005/06	0.885	0.774	0.858	0.943		
2006/07	0.847	0.714	0.875	0.930		
2007/08	0.867	0.750	0.888	0.941		
2008/09	0.858	0.760	0.914	0.941	0.778	0.569
2009/10	0.876	0.754	0.920	0.947	0.849	0.571
2010/11	0.853	0.662	0.934	0.945	0.894	0.458
2011/12	0.852	0.702	0.941	0.954	0.901	0.554
2012/13	0.857	0.723	0.957	0.965	0.940	0.554
2013/14	0.842	0.704	0.957	0.955	0.708	0.534
2014/15	0.831	0.719	0.950	0.949	0.728	0.509
2015/16	0.858	0.763	0.960	0.946	0.791	0.540
2016/17	0.825	0.777	0.966	0.950	0.796	0.519
2017/18	0.821	0.760	0.962	0.940	0.805	0.449
