<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
﻿""	"Gastgewerbe"	"Primärer Sektor"	"Verkehr, Lagerei"	"Handel, Reparatur"	"Baugewerbe"	"Maschinen"	"Metallprodukte"	"Freib., wiss., tech. DL"	"Öff. Verwaltung, Bildung"	"Elektronik/Optik"	"Finanz-, Versicherungs-DL"	"Gesundheits-, Sozialwesen"	"Chemische Industrie"	"Pharma"
"2014"	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
"2015"	96.62	90.57	97.29	109.79	98.80	100.02	98.44	101.60	100.61	88.18	102.39	102.32	103.51	127.14
"2016"	96.47	91.42	95.74	113.91	99.87	99.77	98.61	101.23	100.81	83.38	104.30	107.31	107.68	154.83
"2017"	98.58	88.56	96.94	111.60	100.62	101.72	108.40	101.63	101.81	82.30	105.63	111.18	107.24	181.82
"2018"	102.92	96.11	100.67	108.73	104.02	104.09	109.18	110.25	102.29	93.18	107.81	113.67	126.13	202.39
"2019"	104.39	92.44	104.16	106.51	104.68	95.09	107.98	109.39	103.42	93.74	109.79	118.86	131.71	228.13
"2020"	61.44	91.46	82.39	107.22	102.66	83.25	95.51	114.29	105.93	84.24	116.42	119.36	130.36	244.19
"2021"	59.64	84.82	80.22	102.41	105.60	98.23	104.71	119.51	106.66	106.49	123.21	125.62	148.61	321.81
"2022"	87.77	94.18	97.68	97.96	99.75	104.70	106.07	108.07	108.23	113.97	121.97	132.08	162.09	357.63
=======
﻿""	"Gastgewerbe"	"Verkehr, Lagerei"	"Primärer Sektor"	"Maschinen"	"Handel, Reparatur"	"Metallprodukte"	"Baugewerbe"	"Elektronik/Optik"	"Öff. Verwaltung, Bildung"	"Freib., wiss., tech. DL"	"Finanz-, Versicherungs-DL"	"Gesundheits-, Sozialwesen"	"Chemische Industrie"	"Pharma"
"2014"	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
"2015"	96.62	97.29	90.57	100.02	109.79	98.44	98.80	88.18	100.61	101.60	102.39	102.32	103.51	127.14
"2016"	96.47	95.74	91.42	99.77	113.91	98.61	99.87	83.38	100.81	101.23	104.30	107.31	107.68	154.83
"2017"	98.58	96.94	88.56	101.72	111.60	108.40	100.62	82.30	101.81	101.63	105.63	111.18	107.24	181.82
"2018"	102.92	100.67	96.11	104.09	108.73	109.18	104.02	93.18	102.29	110.25	107.81	113.67	126.13	202.39
"2019"	104.39	104.16	92.44	95.09	106.51	107.98	104.68	93.74	103.42	109.39	109.79	118.86	131.71	228.13
"2020"	61.44	82.39	91.46	83.25	107.22	95.51	102.66	84.24	105.93	114.29	116.42	119.36	130.36	244.19
"2021"	59.64	80.22	84.82	98.23	102.41	104.71	105.60	106.49	106.66	119.51	123.21	125.62	148.61	321.81
>>>>>>> parent of 9509df84eb (some changes)
=======
﻿""	"Gastgewerbe"	"Primärer Sektor"	"Verkehr, Lagerei"	"Handel, Reparatur"	"Baugewerbe"	"Maschinen"	"Metallprodukte"	"Freib., wiss., tech. DL"	"Öff. Verwaltung, Bildung"	"Elektronik/Optik"	"Finanz-, Versicherungs-DL"	"Gesundheits-, Sozialwesen"	"Chemische Industrie"	"Pharma"
"2014"	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
=======
﻿""	"Gastgewerbe"	"Primärer Sektor"	"Verkehr, Lagerei"	"Handel, Reparatur"	"Baugewerbe"	"Maschinen"	"Metallprodukte"	"Freib., wiss., tech. DL"	"Öff. Verwaltung, Bildung"	"Elektronik/Optik"	"Finanz-, Versicherungs-DL"	"Gesundheits-, Sozialwesen"	"Chemische Industrie"	"Pharma"
"2014"	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
>>>>>>> 9fa1608c6c6c4894ace81a5c1c8eff68fd1ae72f
"2015"	96.62	90.57	97.29	109.79	98.80	100.02	98.44	101.60	100.61	88.18	102.39	102.32	103.51	127.14
"2016"	96.47	91.42	95.74	113.91	99.87	99.77	98.61	101.23	100.81	83.38	104.30	107.31	107.68	154.83
"2017"	98.58	88.56	96.94	111.60	100.62	101.72	108.40	101.63	101.81	82.30	105.63	111.18	107.24	181.82
"2018"	102.92	96.11	100.67	108.73	104.02	104.09	109.18	110.25	102.29	93.18	107.81	113.67	126.13	202.39
"2019"	104.39	92.44	104.16	106.51	104.68	95.09	107.98	109.39	103.42	93.74	109.79	118.86	131.71	228.13
"2020"	61.44	91.46	82.39	107.22	102.66	83.25	95.51	114.29	105.93	84.24	116.42	119.36	130.36	244.19
"2021"	59.64	84.82	80.22	102.41	105.60	98.23	104.71	119.51	106.66	106.49	123.21	125.62	148.61	321.81
"2022"	87.77	94.18	97.68	97.96	99.75	104.70	106.07	108.07	108.23	113.97	121.97	132.08	162.09	357.63
<<<<<<< HEAD
>>>>>>> 9fa1608c6c6c4894ace81a5c1c8eff68fd1ae72f
=======
>>>>>>> 9fa1608c6c6c4894ace81a5c1c8eff68fd1ae72f

