	 Schweiz	 Basel-Stadt	 Basel-Landschaft	 Jura	 BBJ
2014-1	100	100	100	100	100
2014-2	102.5	101.7	101.5	103.9	101.9
2014-3	103.5	103	102.9	104.8	103.2
2014-4	103.3	102.6	102.5	104.2	102.8
2015-1	103.6	102.8	103,0	103.1	102.9
2015-2	105.6	104.2	104.7	105.7	104.5
2015-3	106.6	104.8	106	107	105.4
2015-4	106,0	103.8	105.7	105.6	104.6
2016-1	106.7	104.7	105.5	104.5	104.9
2016-2	108.4	106	106.5	107.3	106.3
2016-3	109.1	106.6	107.5	107.9	107,0
2016-4	109.1	106,0	106.8	107	106.4
2017-1	108.9	104.8	106.9	106.6	105.7
2017-2	111.4	106	108.1	110.1	107.1
2017-3	112.6	106.7	110.4	113.3	108.6
2017-4	112.3	105.8	110.1	114	108.1
2018-1	111.8	103.8	110.2	115.4	107.2
2018-2	113.9	104.5	111.9	119.8	108.7
2018-3	114.5	103.8	112.8	122.4	108.9
2018-4	114.1	101.7	111.7	123.2	107.4
2019-1	114.6	101.1	111.7	124.9	107.3
2019-2	117.3	102.1	113.1	127.9	108.6
2019-3	118.5	102.8	114.7	128.5	109.6
2019-4	118.5	102.4	114.6	127.5	109.3
2020-1	118.3	102.1	114.6	126.8	109
2020-2	118.4	102.2	114.4	125.3	108.8
2020-3	119.7	102.9	115.4	124.2	109.4
2020-4	119.4	101.8	115.8	123.9	108.9
2021-1	119.1	100.7	114.5	124.2	107.9
2021-2	122.4	101.8	116.5	129.4	109.7
2021-3	124.5	102.5	118.1	132.4	111
2021-4	125.4	103.1	118.7	137	112
2022-1	127.3	103.3	120.2	142.3	113.3
2022-2	129.1	103.4	121.3	147.5	114.3
2022-3	131.1	104.5	123.9	152.7	116.3
2022-4	132.7	104.7	124.3	157	117.1
2023-1	133.8	103.5	124.4	161.3	117
2023-2	135.3	102.9	125.6	166.3	117.6
2023-3	136.9	102.9	126.2	167.9	117.9
2023-4	137.4	102.8	126.4	170.1	118.2







