Kanton	2020	95% Konfidenzintervall Untergrenze	95% Konfidenzintervall Obergrenze	2021	95% Konfidenzintervall Untergrenze	95% Konfidenzintervall Obergrenze	2022	95% Konfidenzintervall Untergrenze	95% Konfidenzintervall Obergrenze
Basel-Stadt	50.9393	49.4528	52.4258	52.5217	50.9872	54.0561	52.6947	51.1567	54.2327
Basel-Landschaft	40.7317	39.5602	41.9032	41.7707	40.5554	42.9861	43.4891	42.2939	44.6844
Jura	23.9043	21.8439	25.9646	26.9679	24.8285	29.1073	26.4070	24.2215	28.5924
BS/BL/JU	42.1902	41.3451	43.0354	43.6942	42.8192	44.5692	44.5736	43.7040	45.4431
Schweiz	40.1	39.9	40.3	40.7	40.5	40.9	41.5	41.3	41.7
									
									
									
									
									
