Todesursachen	Alter	Alle	Frauen	Männer
Atemweg	0-17	3	1	2
Atemweg	26	2	0	2
Atemweg	27	3	2	1
Atemweg	32	1	0	1
Atemweg	35	2	2	0
Atemweg	38	1	1	0
Atemweg	39	4	1	3
Atemweg	40	2	1	1
Atemweg	41	4	3	1
Atemweg	42	3	1	2
Atemweg	43	5	3	2
Atemweg	44	3	1	2
Atemweg	46	6	0	6
Atemweg	47	6	3	3
Atemweg	48	6	2	4
Atemweg	49	6	3	3
Atemweg	50	3	0	3
Atemweg	51	7	3	4
Atemweg	52	10	4	6
Atemweg	53	8	3	5
Atemweg	54	8	0	8
Atemweg	55	11	3	8
Atemweg	20	1	0	1
Atemweg	56	7	4	3
Atemweg	57	10	7	3
Atemweg	58	13	3	10
Atemweg	59	15	4	11
Atemweg	60	11	5	6
Atemweg	61	15	6	9
Atemweg	62	17	10	7
Atemweg	63	25	7	18
Atemweg	64	30	14	16
Atemweg	65	24	14	10
Atemweg	21	1	1	0
Atemweg	66	35	16	19
Atemweg	67	41	14	27
Atemweg	68	38	14	24
Atemweg	69	47	21	26
Atemweg	70	55	18	37
Atemweg	71	59	29	30
Atemweg	72	59	19	40
Atemweg	73	61	29	32
Atemweg	74	58	18	40
Atemweg	75	70	36	34
Atemweg	76	93	38	55
Atemweg	77	84	40	44
Atemweg	78	101	49	52
Atemweg	79	95	39	56
Atemweg	80	104	49	55
Atemweg	81	132	62	70
Atemweg	82	125	69	56
Atemweg	83	130	72	58
Atemweg	84	153	84	69
Atemweg	85	165	78	87
Atemweg	23	1	0	1
Atemweg	86	160	92	68
Atemweg	87	156	85	71
Atemweg	88	146	82	64
Atemweg	89	148	92	56
Atemweg	90	145	88	57
Atemweg	91	125	84	41
Atemweg	92	121	86	35
Atemweg	93	103	70	33
Atemweg	94	91	61	30
Atemweg	95	79	55	24
Atemweg	96	59	49	10
Atemweg	97	44	36	8
Atemweg	98	35	24	11
Atemweg	99	29	23	6
Atemweg	100+	59	50	9
Herz und Kreislauf	0-17	8	4	4
Herz und Kreislauf	26	4	4	0
Herz und Kreislauf	27	1	1	0
Herz und Kreislauf	28	3	0	3
Herz und Kreislauf	29	2	1	1
