"Wohnviertel_ID"	"Wohnviertel_Name"	"In der Schweiz geborenen Personen (%)"	"Veränderung gegenüber 2009"
01	"Altstadt Grossbasel"	64.6402	-3.22050
02	"Vorstädte"	54.4983	-5.97218
03	"Am Ring"	55.8928	-4.65222
04	"Breite"	58.0200	-5.27502
05	"St. Alban"	57.7510	-6.53335
06	"Gundeldingen"	55.2319	-0.75261
07	"Bruderholz"	67.2758	-4.84085
08	"Bachletten"	69.6346	-4.12383
09	"Gotthelf"	64.4319	-2.76179
10	"Iselin"	56.5491	-4.29310
11	"St. Johann"	52.6119	-1.90581
12	"Altstadt Kleinbasel"	56.1963	-5.96940
13	"Clara"	48.0157	-2.33485
14	"Wettstein"	61.8525	-4.64922
15	"Hirzbrunnen"	67.8149	-6.22382
16	"Rosental"	42.2515	-3.30519
17	"Matthäus"	46.8143	-0.34577
18	"Klybeck"	47.6621	-3.05027
19	"Kleinhüningen"	49.3002	-1.24924
20	"Riehen"	65.5772	-5.95443
30	"Bettingen"	63.6439	-0.51025

