	Stimmt genau	Stimmt eher	Stimmt eher nicht	Stimmt gar nicht	Weiss nicht	Keine Angabe
Familienform						
Einelternfamilie	21.0	21.3	16.9	27.9	3.7	9.2
Zweielternfamilie	9.2	16.3	20.2	46.5	3.0	4.9
Anzahl Kinder						
1 Kind	10.5	16.2	20.5	45.0	2.7	5.2
2 Kinder	9.1	17.1	19.7	44.9	2.9	6.3
3 Kinder u.m.	16.7	18.7	17.8	37.1	4.8	4.8
Alter jüngstes Kind						
0-4 Jahre	12.0	18.0	21.1	41.5	3.1	4.3
5-8 Jahre	11.5	16.2	22.3	40.7	3.0	6.3
9-12 Jahre	9.7	16.2	17.3	47.3	3.2	6.1
13-17 Jahre	10.3	16.7	17.0	46.8	3.3	5.9
Bildungsniveau Eltern						
Obligat. Schule	21.9	21.0	10.5	18.1	9.5	19.0
Sekundarstufe II	17.5	24.2	20.1	27.8	3.4	6.9
Tertiärstufe	6.4	12.6	20.5	55.0	2.2	3.2
Haushaltssprache						
ch/dt	8.0	15.3	22.0	51.1	1.0	2.5
ch/dt und andere	16.5	19.0	19.2	32.9	3.9	8.5
nur andere	11.0	18.7	13.4	36.6	9.3	11.0
Haushaltseinkommen						
<3000 Fr.	28.8	27.0	13.5	9.9	8.1	12.6
3000-7499 Fr.	19.3	27.6	20.3	23.4	3.1	6.2
>7499 Fr.	4.0	9.0	20.2	63.2	1.5	2.1
Wahlkreis						
Grossbasel Ost	10.8	16.9	18.3	47.5	2.7	3.9
Grossbasel West	9.9	19.8	18.6	43.4	2.7	5.5
Kleinbasel	14.6	16.5	20.7	35.1	4.5	8.5
Riehen, Bettingen	8.3	13.8	23.3	47.4	3.2	4.0
Befragungsjahr						
2009	14.0	22.4	20.2	31.8	4.0	7.5
2013	13.1	18.9	19.5	37.1	3.9	7.5
2017	11.2	17.1	19.6	43.3	3.2	5.6
