	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Haushaltsform						
Einpersonen-HH	49.2	35	5.1	1.8	3.2	5.7
Mehrpersonen-HH	49.7	34.2	3.9	1.1	4.6	6.5
*Geschlecht						
Männlich	45.8	37.2	4.6	1.3	5.9	5.3
Weiblich	52.5	32.3	4.2	1.4	2.6	7.1
*Alter						
55-64 Jahre	50.3	33.5	6.9	1.9	4.2	3.1
65-74 Jahre	52	33.3	3.6	0.8	3.8	6.5
>74 Jahre	46.7	36.5	2.4	1.3	4.1	9.1
*Staatsangehörigkeit						
Schweiz	50.4	33.8	4.3	1.4	3.7	6.4
Ausland	41.1	40.2	4.7	0.9	8.4	4.7
*Haushaltseinkommen						
<5 000 Fr.	52.3	33.1	5.8	1.8	1.3	5.6
5 000-7 499 Fr.	48.9	37.9	6.1	0.6	2.1	4.3
>7 499 Fr.	50.8	32.5	2.7	1.6	6.5	6
*Wahlkreis						
Grossbasel Ost	49.3	34.2	4.5	1.7	4.5	5.9
Grossbasel West	53.4	33.6	3.4	1.1	3.9	4.6
Kleinbasel	49.7	34.4	4.9	0.7	3.8	6.6
Riehen, Bettingen	44.8	35.3	5.2	2	4.8	7.9
*Befragungsjahr						
2011	47.4	37.5	5.4	0.8	2.2	6.7
2015	49.5	34.5	4.3	1.3	4.1	6.2
