	Regelmässig	Hin und wieder	Selten	Nie	Nicht möglich/nicht vorhanden	Keine Angabe
*Haushaltsform						
Einpersonen-HH	3.6	17.2	14.6	33.6	10.1	20.9
Mehrpersonen-HH	3.3	16.7	17.9	37.6	5.8	18.8
*Geschlecht						
Männlich	2.9	16.1	18.5	39.7	6.4	16.4
Weiblich	3.7	17.7	15.4	33.4	8.1	21.8
*Alter						
55-64 Jahre	4	21.6	22.6	35.8	5.2	10.7
65-74 Jahre	4.2	19.6	17.3	37.3	7.2	14.5
>74 Jahre	1.7	9.3	10.4	35.2	9.5	33.9
*Staatsangehörigkeit						
Schweiz	3.4	17.3	16.8	35.4	7.2	20
Ausland	3.7	13.1	15.9	44.9	9.3	13.1
*Haushaltseinkommen						
<5 000 Fr.	3.1	15.4	14.3	36.5	9.8	20.8
5 000-7 499 Fr.	4	17.7	16.8	38.2	4	19.3
>7 499 Fr.	4.2	19.4	19.2	37.2	5.6	14.5
*Wahlkreis						
Grossbasel Ost	2.7	16.1	17.1	37.9	8.7	17.6
Grossbasel West	4.1	17.8	16.4	37.9	5.9	17.8
Kleinbasel	3.8	17	18.1	30.9	8.7	21.5
Riehen, Bettingen	2.4	18.3	15.9	37.7	4.8	21
*Befragungsjahr						
2011	2.1	11.4	11.7	39.2	6.9	28.8
2015	3.4	16.9	16.7	36.2	7.3	19.6
