"Wohnviertel_ID"	"Wohnviertel_Name"	"Ant_deutsch_2018"	"Veränderung_gg_2009"
01	"Altstadt Grossbasel"	80.6464	-4.41919
02	"Vorstädte"	71.5939	-7.11257
03	"Am Ring"	72.7942	-6.26376
04	"Breite"	73.9711	-4.85412
05	"St. Alban"	73.4611	-6.54465
06	"Gundeldingen"	69.3168	-0.13482
07	"Bruderholz"	83.7875	-3.91312
08	"Bachletten"	85.7217	-2.63465
09	"Gotthelf"	80.7526	-2.86147
10	"Iselin"	69.1234	-4.51095
11	"St. Johann"	65.1145	-0.60197
12	"Altstadt Kleinbasel"	72.5562	-5.97137
13	"Clara"	60.8035	-2.16593
14	"Wettstein"	78.8489	-4.01712
15	"Hirzbrunnen"	82.1478	-4.58332
16	"Rosental"	54.0936	-0.30864
17	"Matthäus"	58.6786	0.34053
18	"Klybeck"	54.2438	-2.71333
19	"Kleinhüningen"	59.2022	-2.22254
20	"Riehen"	85.4532	-4.84219
30	"Bettingen"	90.7667	-2.28770

