Jahr	Bezüger Kleinhüningen	Bezüger Klybeck	Sozialhilfequote Kleinhüningen	Sozialhilfequote Klybeck
2001	182	598	7.7020736352	8.5331050228
2002	195	587	7.9075425791	8.3677833215
2003	242	701	9.6645367412	9.9602159704
2004	283	810	11.411290323	11.566471512
2005	293	849	11.4453125	12.099187687
2006	317	862	12.392494136	12.103341758
2007	292	833	11.487018096	11.855963564
2008	281	810	11.006658833	11.366825709
2009	245	842	9.2838196286	11.645919779
2010	285	828	10.861280488	11.582039446
2011	353	887	13.078918118	12.227736421
2012	352	933	12.234966979	12.837094111
2013	366	984	12.717164698	13.49054017
2014	383	952	13.317107093	12.955906369
2015	394	919	13.586206897	12.621892597
2016	414	981	14.310404424	13.621216329
2017	379	1012	13.326300985	13.949000689
2018	361	1002	12.631210637	13.739201974
