""	"Mittlere jährliche Arbeitslosenquote"	"Mittlere jährliche Arbeitslosenquote"
"2010-01"	1.163975	1.163975
"2010-02"	1.163975	1.163975
"2010-03"	1.163975	1.163975
"2010-04"	1.163975	1.163975
"2010-05"	1.163975	1.163975
"2010-06"	1.163975	1.163975
"2010-07"	1.163975	1.163975
"2010-08"	1.163975	1.163975
"2010-09"	1.163975	1.163975
"2010-10"	1.163975	1.163975
"2010-11"	1.163975	1.163975
"2010-12"	1.163975	1.163975
"2011-01"	0.863173	0.863173
"2011-02"	0.863173	0.863173
"2011-03"	0.863173	0.863173
"2011-04"	0.863173	0.863173
"2011-05"	0.863173	0.863173
"2011-06"	0.863173	0.863173
"2011-07"	0.863173	0.863173
"2011-08"	0.863173	0.863173
"2011-09"	0.863173	0.863173
"2011-10"	0.863173	0.863173
"2011-11"	0.863173	0.863173
"2011-12"	0.863173	0.863173
"2012-01"	0.804320	0.804320
"2012-02"	0.804320	0.804320
"2012-03"	0.804320	0.804320
"2012-04"	0.804320	0.804320
"2012-05"	0.804320	0.804320
"2012-06"	0.804320	0.804320
"2012-07"	0.804320	0.804320
"2012-08"	0.804320	0.804320
"2012-09"	0.804320	0.804320
"2012-10"	0.804320	0.804320
"2012-11"	0.804320	0.804320
"2012-12"	0.804320	0.804320
"2013-01"	0.895869	0.895869
"2013-02"	0.895869	0.895869
"2013-03"	0.895869	0.895869
"2013-04"	0.895869	0.895869
"2013-05"	0.895869	0.895869
"2013-06"	0.895869	0.895869
"2013-07"	0.895869	0.895869
"2013-08"	0.895869	0.895869
"2013-09"	0.895869	0.895869
"2013-10"	0.895869	0.895869
"2013-11"	0.895869	0.895869
"2013-12"	0.895869	0.895869
"2014-01"	0.451204	0.451204
"2014-02"	0.451204	0.451204
"2014-03"	0.451204	0.451204
"2014-04"	0.451204	0.451204
"2014-05"	0.451204	0.451204
"2014-06"	0.451204	0.451204
"2014-07"	0.451204	0.451204
"2014-08"	0.451204	0.451204
"2014-09"	0.451204	0.451204
"2014-10"	0.451204	0.451204
"2014-11"	0.451204	0.451204
"2014-12"	0.451204	0.451204
"2015-01"	0.320420	0.320420
"2015-02"	0.320420	0.320420
"2015-03"	0.320420	0.320420
"2015-04"	0.320420	0.320420
"2015-05"	0.320420	0.320420
"2015-06"	0.320420	0.320420
"2015-07"	0.320420	0.320420
"2015-08"	0.320420	0.320420
"2015-09"	0.320420	0.320420
"2015-10"	0.320420	0.320420
"2015-11"	0.320420	0.320420
"2015-12"	0.320420	0.320420
"2016-01"	0.503517	0.503517
"2016-02"	0.503517	0.503517
"2016-03"	0.503517	0.503517
"2016-04"	0.503517	0.503517
"2016-05"	0.503517	0.503517
"2016-06"	0.503517	0.503517
"2016-07"	0.503517	0.503517
"2016-08"	0.503517	0.503517
"2016-09"	0.503517	0.503517
"2016-10"	0.503517	0.503517
"2016-11"	0.503517	0.503517
"2016-12"	0.503517	0.503517
"2017-01"	0.595066	0.595066
"2017-02"	0.595066	0.595066
"2017-03"	0.595066	0.595066
"2017-04"	0.595066	0.595066
"2017-05"	0.595066	0.595066
"2017-06"	0.595066	0.595066
"2017-07"	0.595066	0.595066
"2017-08"	0.595066	0.595066
"2017-09"	0.595066	0.595066
"2017-10"	0.595066	0.595066
"2017-11"	0.595066	0.595066
"2017-12"	0.595066	0.595066
"2018-01"	0.588527	0.588527
"2018-02"	0.588527	0.588527
"2018-03"	0.588527	0.588527
"2018-04"	0.588527	0.588527
"2018-05"	0.588527	0.588527
"2018-06"	0.588527	0.588527
"2018-07"	0.588527	0.588527
"2018-08"	0.588527	0.588527
"2018-09"	0.588527	0.588527
"2018-10"	0.588527	0.588527
"2018-11"	0.588527	0.588527
"2018-12"	0.588527	0.588527
"2019-01"	0.614684	0.614684
"2019-02"	0.614684	0.614684
"2019-03"	0.614684	0.614684
"2019-04"	0.614684	0.614684
"2019-05"	0.614684	0.614684
"2019-06"	0.614684	0.614684
"2019-07"	0.614684	0.614684
"2019-08"	0.614684	0.614684
"2019-09"	0.614684	0.614684
"2019-10"	0.614684	0.614684
"2019-11"	0.614684	0.614684
"2019-12"	0.614684	0.614684

