""	"Mittlere jährliche Arbeitslosenquote Lagerei"	"Mittlere jährliche Arbeitslosenquote Zustelldienste"	"Monatliche Anzahl Arbeitslose Lagerei (rechte Skala)"	"Monatliche Anzahl Arbeitslose Zustelldienste (rechte Skala)"
"2010-01"	0.077299	0.072402	92	62
"2010-02"	0.077299	0.072402	92	60
"2010-03"	0.077299	0.072402	89	58
"2010-04"	0.077299	0.072402	83	57
"2010-05"	0.077299	0.072402	79	52
"2010-06"	0.077299	0.072402	74	54
"2010-07"	0.077299	0.072402	65	51
"2010-08"	0.077299	0.072402	61	43
"2010-09"	0.077299	0.072402	58	39
"2010-10"	0.077299	0.072402	61	33
"2010-11"	0.077299	0.072402	58	31
"2010-12"	0.077299	0.072402	51	26
"2011-01"	0.063863	0.030445	50	26
"2011-02"	0.063863	0.030445	55	23
"2011-03"	0.063863	0.030445	65	19
"2011-04"	0.063863	0.030445	58	16
"2011-05"	0.063863	0.030445	52	15
"2011-06"	0.063863	0.030445	53	17
"2011-07"	0.063863	0.030445	58	17
"2011-08"	0.063863	0.030445	61	20
"2011-09"	0.063863	0.030445	62	21
"2011-10"	0.063863	0.030445	62	21
"2011-11"	0.063863	0.030445	67	20
"2011-12"	0.063863	0.030445	70	23
"2012-01"	0.074881	0.040806	68	30
"2012-02"	0.074881	0.040806	70	27
"2012-03"	0.074881	0.040806	75	29
"2012-04"	0.074881	0.040806	75	26
"2012-05"	0.074881	0.040806	75	28
"2012-06"	0.074881	0.040806	69	24
"2012-07"	0.074881	0.040806	64	22
"2012-08"	0.074881	0.040806	65	21
"2012-09"	0.074881	0.040806	66	28
"2012-10"	0.074881	0.040806	69	27
"2012-11"	0.074881	0.040806	67	26
"2012-12"	0.074881	0.040806	73	31
"2013-01"	0.072731	0.046818	70	35
"2013-02"	0.072731	0.046818	71	32
"2013-03"	0.072731	0.046818	67	37
"2013-04"	0.072731	0.046818	67	37
"2013-05"	0.072731	0.046818	65	34
"2013-06"	0.072731	0.046818	66	33
"2013-07"	0.072731	0.046818	65	31
"2013-08"	0.072731	0.046818	66	25
"2013-09"	0.072731	0.046818	69	28
"2013-10"	0.072731	0.046818	71	28
"2013-11"	0.072731	0.046818	69	24
"2013-12"	0.072731	0.046818	66	22
"2014-01"	0.073806	0.040934	74	22
"2014-02"	0.073806	0.040934	78	28
"2014-03"	0.073806	0.040934	70	30
"2014-04"	0.073806	0.040934	66	30
"2014-05"	0.073806	0.040934	64	31
"2014-06"	0.073806	0.040934	62	32
"2014-07"	0.073806	0.040934	54	24
"2014-08"	0.073806	0.040934	59	23
"2014-09"	0.073806	0.040934	63	27
"2014-10"	0.073806	0.040934	68	27
"2014-11"	0.073806	0.040934	86	22
"2014-12"	0.073806	0.040934	80	24
"2015-01"	0.075866	0.027119	88	24
"2015-02"	0.075866	0.027119	85	19
"2015-03"	0.075866	0.027119	80	17
"2015-04"	0.075866	0.027119	74	18
"2015-05"	0.075866	0.027119	76	18
"2015-06"	0.075866	0.027119	76	20
"2015-07"	0.075866	0.027119	69	17
"2015-08"	0.075866	0.027119	65	15
"2015-09"	0.075866	0.027119	59	12
"2015-10"	0.075866	0.027119	58	13
"2015-11"	0.075866	0.027119	58	18
"2015-12"	0.075866	0.027119	59	21
"2016-01"	0.061355	0.041318	61	23
"2016-02"	0.061355	0.041318	53	27
"2016-03"	0.061355	0.041318	54	26
"2016-04"	0.061355	0.041318	56	32
"2016-05"	0.061355	0.041318	56	30
"2016-06"	0.061355	0.041318	62	29
"2016-07"	0.061355	0.041318	53	25
"2016-08"	0.061355	0.041318	54	27
"2016-09"	0.061355	0.041318	53	23
"2016-10"	0.061355	0.041318	56	23
"2016-11"	0.061355	0.041318	65	29
"2016-12"	0.061355	0.041318	62	29
"2017-01"	0.072373	0.030317	63	25
"2017-02"	0.072373	0.030317	63	24
"2017-03"	0.072373	0.030317	65	24
"2017-04"	0.072373	0.030317	64	24
"2017-05"	0.072373	0.030317	75	21
"2017-06"	0.072373	0.030317	79	22
"2017-07"	0.072373	0.030317	71	19
"2017-08"	0.072373	0.030317	71	19
"2017-09"	0.072373	0.030317	67	16
"2017-10"	0.072373	0.030317	63	17
"2017-11"	0.072373	0.030317	64	14
"2017-12"	0.072373	0.030317	63	12
"2018-01"	0.065297	0.030061	66	15
"2018-02"	0.065297	0.030061	69	17
"2018-03"	0.065297	0.030061	62	19
"2018-04"	0.065297	0.030061	56	19
"2018-05"	0.065297	0.030061	55	25
"2018-06"	0.065297	0.030061	52	23
"2018-07"	0.065297	0.030061	53	21
"2018-08"	0.065297	0.030061	62	18
"2018-09"	0.065297	0.030061	55	23
"2018-10"	0.065297	0.030061	53	17
"2018-11"	0.065297	0.030061	69	18
"2018-12"	0.065297	0.030061	77	20
"2019-01"	0.055354	0.032619	64	24
"2019-02"	0.055354	0.032619	53	21
"2019-03"	0.055354	0.032619	49	27
"2019-04"	0.055354	0.032619	53	21
"2019-05"	0.055354	0.032619	50	19
"2019-06"	0.055354	0.032619	51	16
"2019-07"	0.055354	0.032619	44	19
"2019-08"	0.055354	0.032619	49	22
"2019-09"	0.055354	0.032619	49	21
"2019-10"	0.055354	0.032619	49	19
"2019-11"	0.055354	0.032619	52	21
"2019-12"	0.055354	0.032619	55	25

