Kategorie	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Ganz unzufrieden	Weiss nicht	Keine Angaben
Kulturangebot	796	820	136	16	148	92
Gebäude/Strassenbild	482	1080	273	43	74	90
Luftqualität	515	942	366	81	67	82
Lärmsituation	568	835	383	146	14	91
Arbeitsplätzangebot	252	651	221	65	568	101
Senioreneinrichtungen	362	700	122	20	690	77
Behinderteneinrichtungen	269	536	139	29	863	86
Jugendeinrichtungen	224	548	178	33	784	88
Zusammensetz. Bev.	435	1005	191	50	209	81
Verkehrssicherheit	585	1021	293	48	15	85
Öffentliche Sicherheit	695	976	216	66	26	78

