	 2018	 2019	 2020
01. Jan	212036	205590	177042
02. Jan	329886	325374	271971
03. Jan	338118	344579	301555
04. Jan	367420	365408	268398
05. Jan	392612	306984	207492
06. Jan	328602	232240	302170
07. Jan	238793	369927	317299
08. Jan	390553	384391	323568
09. Jan	394758	383857	349790
10. Jan	406680	394436	371307
11. Jan	409811	414744	305779
12. Jan	433057	324487	229619
13. Jan	345006	237166	348526
14. Jan	255009	385501	353646
15. Jan	399456	397895	390319
16. Jan	410316	402153	402577
17. Jan	412397	408813	422630
18. Jan	429471	426455	341197
19. Jan	452592	341258	246337
20. Jan	351842	245663	378274
21. Jan	250372	386382	383056
22. Jan	397850	393468	386231
23. Jan	404135	394341	395319
24. Jan	410406	408055	421955
25. Jan	419577	434060	338081
26. Jan	445115	336828	254597
27. Jan	356689	255990	383382
28. Jan	260630	395968	389319
29. Jan	401279	404146	393227
30. Jan	408935	410177	401781
31. Jan	415559	413128	416420
01. Feb	418824	433912	345776
02. Feb	439598	352331	249593
03. Feb	353185	251289	387056
04. Feb	264380	395522	388576
05. Feb	396190	403764	391197
06. Feb	402754	410802	381306
07. Feb	405874	412004	393566
08. Feb	411980	433572	334354
09. Feb	435946	354533	254108
10. Feb	339071	254147	369686
11. Feb	234610	395523	394627
12. Feb	377114	400570	401697
13. Feb	393671	407690	412840
14. Feb	397791	416486	433127
15. Feb	394619	431563	350849
16. Feb	419892	359833	267428
17. Feb	328509	282407	362162
18. Feb	237333	395322	384265
19. Feb	322042	403368	361112
20. Feb	367503	407773	366365
21. Feb	366952	415725	394150
22. Feb	394327	436103	327950
23. Feb	411277	360567	210167
24. Feb	329428	279076	341447
25. Feb	251001	401469	364865
26. Feb	389351	413021	361934
27. Feb	400258	416858	369322
28. Feb	413214	426895	372026
29. Feb	#NV	#NV	302118
01. Mrz	385190	446399	221684
02. Mrz	410709	341696	284338
03. Mrz	345706	254552	337691
04. Mrz	263939	373370	335499
05. Mrz	390980	386640	348722
06. Mrz	398415	391339	362774
07. Mrz	402364	405917	288841
08. Mrz	408066	422140	221251
09. Mrz	427343	331527	347714
10. Mrz	349531	247780	354993
11. Mrz	262860	319892	356613
12. Mrz	399804	367098	358902
13. Mrz	403347	360490	373210
14. Mrz	386573	395114	264578
15. Mrz	419080	419991	189846
16. Mrz	430824	332481	303540
17. Mrz	349734	255458	242100
18. Mrz	246020	399748	226026
19. Mrz	394123	411626	226962
20. Mrz	410809	416604	224206
21. Mrz	422290	416536	116672
22. Mrz	435187	453350	88519
23. Mrz	458416	369580	203739
24. Mrz	383132	297101	194414
25. Mrz	288483	411700	#NV
26. Mrz	417751	410111	#NV
27. Mrz	422435	411784	#NV
28. Mrz	427990	419475	#NV
29. Mrz	427112	442029	#NV
30. Mrz	249419	359940	#NV
31. Mrz	325243	285193	#NV
