	2019	2020	Rückgang
00:00	228	111	0.510544815
01:00	127	81	0.364566929
02:00	96	60	0.376041667
03:00	135	92	0.318282754
04:00	284	203	0.286217836
05:00	732	607	0.170718383
06:00	1903	1795	0.057009248
07:00	2376	2203	0.072742581
08:00	2307	1621	0.297116844
09:00	2112	1456	0.310460766
10:00	1957	1440	0.264397772
11:00	2087	1480	0.290794077
12:00	1987	1473	0.258830633
13:00	2204	1658	0.247526999
14:00	2198	1619	0.263351833
15:00	2356	1732	0.264844446
16:00	2135	2083	0.024361677
17:00	2253	2024	0.101775411
18:00	2187	1478	0.324033844
19:00	1720	965	0.43877195
20:00	1306	632	0.515926493
21:00	1125	429	0.618319253
22:00	895	334	0.626914049
23:00	591	202	0.659167794
