	 2019	 2020	relative Abnahme (rechte Skala)
00:00	148	24	0.836148649
01:00	95	11	0.889473684
02:00	48	5	0.9
03:00	54	8	0.861111111
04:00	32	8	0.76744186
05:00	36	8	0.786206897
06:00	50	33	0.338383838
07:00	92	29	0.683060109
08:00	153	54	0.646481178
09:00	240	83	0.655891554
10:00	268	115	0.571962617
11:00	301	140	0.53654485
12:00	328	158	0.518659558
13:00	378	202	0.465961666
14:00	406	224	0.448828607
15:00	444	221	0.503378378
16:00	440	225	0.489204545
17:00	460	194	0.579347826
18:00	425	153	0.639199529
19:00	293	99	0.664109122
20:00	230	62	0.729847495
21:00	190	47	0.754270696
22:00	153	32	0.791190865
23:00	133	23	0.828301887
