JahrKW	Gemeldete Todesfälle 0 - 64 Jahre	Untere Grenze Erwartungsbereich 0 - 64 Jahre	Obere Grenze Erwartungsbereich  0 - 64 Jahre	Gemeldete Todesfälle 65+ Jahre	Untere Grenze Erwartungsbereich 65+ Jahre	Obere Grenze 65+ Jahre
2014-01	10	0	11	37	21.8	53.4
2014-02	6	0	11	41	21.8	53.5
2014-03	10	0	11	49	21.9	53.5
2014-04	10	0	11	46	21.9	53.5
2014-05	6	0	11	40	21.9	53.5
2014-06	5	0	11	42	21.9	53.5
2014-07	4	0	11	30	21.9	53.5
2014-08	7	0	11	36	21.7	53.3
2014-09	6	0	11	44	21.6	53.1
2014-10	6	0	11	41	21.4	52.8
2014-11	5	0	11	40	21.2	52.5
2014-12	7	0	11	38	20.9	52
2014-13	6	0	11	26	20.6	51.6
2014-14	6	0	11	30	20.3	51.1
2014-15	5	0	11	38	19.9	50.4
2014-16	3	0	11	30	19.4	49.7
2014-17	5	0	11	33	19	49
2014-18	4	0	11.1	37	18.6	48.4
2014-19	4	0	11.1	33	18.2	47.8
2014-20	5	0	11.1	28	17.8	47.2
2014-21	2	0	11.1	26	17.5	46.6
2014-22	3	0	11.1	41	17.3	46.3
2014-23	7	0	11.1	29	17.1	46.1
2014-24	6	0	11.1	44	16.9	45.8
2014-25	9	0	11.1	24	16.9	45.8
2014-26	8	0	11.1	30	16.9	45.8
2014-27	4	0	11.1	30	16.9	45.8
2014-28	10	0	11.1	35	17.1	46
2014-29	3	0	11	40	17.2	46.2
2014-30	5	0	11	27	17.3	46.4
2014-31	3	0	11	34	17.4	46.6
2014-32	4	0	11	36	17.4	46.6
2014-33	2	0	11	35	17.5	46.6
2014-34	5	0	11	34	17.5	46.7
2014-35	6	0	11	33	17.5	46.7
2014-36	8	0	11	25	17.6	46.8
2014-37	6	0	11	42	17.6	46.8
2014-38	8	0	11	37	17.7	47.1
2014-39	6	0	11	38	17.9	47.3
2014-40	6	0	11	43	18	47.5
2014-41	5	0	11	35	18.3	48
2014-42	3	0	11	34	18.6	48.5
2014-43	2	0	10.9	42	19	49.1
2014-44	6	0	10.9	30	19.4	49.7
2014-45	8	0	10.9	36	19.7	50.1
2014-46	3	0	10.9	38	19.9	50.5
2014-47	6	0	10.9	43	20.2	50.9
2014-48	6	0	10.9	43	20.2	50.9
2014-49	3	0	10.9	42	20.2	50.9
2014-50	2	0	10.9	38	20.2	51
2014-51	3	0	10.9	38	20.2	51
2014-52	8	0	10.9	35	20.2	50.9
2015-01	9	0	11.3	28	22.4	54.4
2015-02	7	0	11.3	41	22.5	54.4
