Kalenderwoche	2015 Kumuliert	2015 Wöchentlich	2016 Kumuliert	2016 Wöchentlich	2017 Kumuliert	2017 Wöchentlich	2018 Kumuliert	2018 Wöchentlich	2019 Kumuliert	2019 Wöchentlich	2020 Kumuliert	2020 Wöchentlich
1	4	4	0	0	0	0	1	1	-4	-4	0	0
2	5	2	-1	-1	1	0	1	-1	-1	2	2	1
3	6	1	-2	0	0	-1	-1	-2	1	2	4	2
4	7	1	-5	-3	1	1	3	3	2	0	1	-4
5	4	-2	-7	-2	1	-1	-1	-4	3	1	-1	-2
6	7	3	-9	-2	2	1	1	1	2	-1	-1	-1
7	5	-2	-8	1	-2	-4	0	-1	5	2	-4	-3
8	8	4	-8	0	-3	-2	-1	-1	4	-1	-3	1
9	9	1	-7	1	-1	2	0	2	5	0	-4	-2
10	9	0	-3	4	-3	-2	1	1	5	0	-6	-2
11	5	-3	-5	-2	-5	-3	3	3	4	-2	-6	-1
12	5	0	-2	3	-3	2	5	2	7	3	-5	1
13	5	0	1	3	-4	-2	7	3	5	-2	-3	1
14	2	-2	-2	-3	-2	2	6	-1	4	-2	-3	1
15	1	-1	-5	-3	-3	-2	4	-2	4	0	-1	2
16	-1	-2	-6	-1	-5	-2	7	4	5	0	1	3
17	2	4	-9	-3	-3	2	8	1	3	-2	6	5
18	1	-1	-9	0	-5	-3	10	3	2	-2	6	1
19	3	2	-11	-2	-6	-1	12	2	7	6	4	-2
20	0	-2	-13	-2	-5	0	10	-2	5	-2	5	2
21	0	0	-13	0	-6	-1	10	1	4	0	2	-3
22	-1	-1	-13	-1	-7	-1	11	1	4	0		
23	-6	-4	-7	6	-2	6	16	5	5	2		
24	-5	1	-6	1	0	2	13	-2	7	2		
25	-5	0	-6	0	-1	0	13	0	6	-1		
26	-5	1	-9	-3	0	1	13	0	8	3		
27	-7	-2	-12	-3	-2	-2	13	1	10	2		
28	-4	3	-12	0	-1	2	13	0	11	2		
29	-3	2	-14	-2	-3	-2	14	1	10	-1		
30	-4	-1	-16	-2	-4	0	15	2	11	2		
31	-3	1	-16	0	-1	3	17	2	12	1		
32	-6	-2	-19	-3	-2	0	16	-1	16	4		
33	2	8	-17	2	-2	0	18	2	14	-1		
34	2	0	-17	0	-1	1	17	0	13	-1		
35	0	-1	-15	2	-4	-2	17	0	12	0		
36	-1	-1	-17	-1	2	6	16	-1	12	0		
37	4	5	-19	-2	4	2	15	-1	10	-2		
38	2	-2	-19	-1	2	-1	13	-2	5	-4		
39	-1	-2	-22	-3	2	0	14	2	2	-3		
40	-5	-4	-23	-1	3	1	15	1	3	1		
41	-2	3	-24	-1	7	5	18	3	6	4		
42	-5	-2	-27	-3	9	2	20	2	6	0		
43	-7	-2	-28	-1	8	-1	22	2	3	-3		
44	-9	-2	-32	-4	10	2	19	-2	4	2		
45	-11	-1	-35	-4	12	3	19	0	2	-2		
46	-10	1	-33	2	11	-1	21	2	6	4		
47	-15	-4	-37	-4	10	-1	23	2	5	0		
48	-17	-2	-33	3	11	1	25	2	4	-1		
49	-19	-2	-30	3	10	0	28	3	4	0		
50	-22	-2	-32	-2	10	0	27	-1	7	3		
51	-24	-2	-32	-1	8	-2	31	4	7	1		
52	-26	-2	-27	6	11	3	29	-2	8	1		
53	-29	-2										
