"GeoID"	"Anzahl Leerwohnungen"	"ANZ_BESTAND"	"Leerwohnungsquote"	"JAHR"
2761	72	5066	0.014212396	2020
2762	139	11031	0.012600852	2020
2841	1	247	0.004048583	2020
2881	1	263	0	2020
2821	5	722	0.006925208	2020
2763	61	4681	0.013031404	2020
2822	5	603	0.008291874	2020
2701	961	100658	0.00954718	2020
2882	2	298	0.006711409	2020
2702	4	503	0.007952286	2020
2764	19	1539	0.012345679	2020
2765	61	8377	0.007281843	2020
2766	69	5727	0.012048193	2020
2781	1	352	0.002840909	2020
2842	1	372	0.002688172	2020
2767	34	3400	0.01	2020
2883	2	342	0.005847953	2020
2782	6	751	0.007989348	2020
2823	14	2059	0.006799417	2020
2843	1	339	0.002949853	2020
2783	1	131	0.007633588	2020
2844	2	481	0.004158004	2020
2884	6	744	0.008064516	2020
2845	0	330	0	2020
2784	0	368	0	2020
2785	5	712	0.007022472	2020
2885	3	268	0.01119403	2020
2768	39	2629	0.014834538	2020
2824	36	3141	0.011461318	2020
2825	36	2264	0.01590106	2020
2846	13	2976	0.00436828	2020
2826	10	498	0.020080321	2020
2786	15	969	0.015479876	2020
2847	1	118	0.008474576	2020
2848	1	142	0.007042254	2020
2827	0	158	0	2020
2886	4	1121	0.003568243	2020
2849	6	956	0.006276151	2020
2850	1	257	0.003891051	2020
2851	0	71	0	2020
2887	0	232	0	2020
2888	3	511	0.005870841	2020
2852	3	620	0.00483871	2020
2787	55	2907	0.018919849	2020
2828	51	2508	0.020334928	2020
2889	0	174	0	2020
2890	1	78	0.012820513	2020
2788	2	608	0.003289474	2020
2829	145	7415	0.019554956	2020
2830	1	645	0.001550388	2020
2853	2	463	0.004319654	2020
2769	71	6013	0.01180775	2020
2770	72	8754	0.008224812	2020
2789	1	200	0.005	2020
2891	3	873	0.003436426	2020
2854	0	118	0	2020
2892	19	1152	0.016493056	2020
2771	88	5366	0.016399553	2020
2855	1	248	0.004032258	2020
2856	14	1036	0.013513514	2020
2772	6	1033	0.005808325	2020
2831	80	8126	0.009844942	2020
2832	1	330	0.003030303	2020
2893	4	757	0.005284016	2020
2773	133	9465	0.01405177	2020
2857	0	283	0	2020
2703	108	10484	0.010301412	2020
2790	2	163	0.012269939	2020
2791	14	905	0.015469613	2020
2858	0	370	0	2020
2859	3	184	0.016304348	2020
2860	1	383	0.002610966	2020
2774	1	647	0.001545595	2020
2833	1	597	0.001675042	2020
2861	40	3334	0.0119976	2020
2862	6	374	0.016042781	2020
2863	1	415	0.002409639	2020
2775	51	4660	0.010944206	2020
2864	7	639	0.010954617	2020
2894	0	216	0	2020
2792	9	715	0.012587413	2020
2895	14	619	0.022617124	2020
2865	3	345	0.008695652	2020
2866	0	306	0	2020
2867	0	191	0	2020
2868	2	239	0.008368201	2020
2834	0	700	0	2020
2869	10	1258	0.007949126	2020
2793	24	1171	0.020495303	2020
