"Jahr"	"Keine Zuweisung_Schwere Gewalt (angewandt)"	"Keine Zuweisung_Minderschwere Gewalt (angewandt ev. angedroht)"	"Keine Zuweisung_Minderschwere Gewalt (angedroht)"	"Öffentlich zugängliche Orte_Schwere Gewalt (angewandt)"	"Öffentlich zugängliche Orte_Minderschwere Gewalt (angewandt ev. angedroht)"	"Öffentlich zugängliche Orte_Minderschwere Gewalt (angedroht)"	"Öffentlicher Raum_Schwere Gewalt (angewandt)"	"Öffentlicher Raum_Minderschwere Gewalt (angewandt ev. angedroht)"	"Öffentlicher Raum_Minderschwere Gewalt (angedroht)"
2009	46	683	374	7	345	82	18	693	115
2010	23	660	369	12	313	90	13	767	119
2011	41	750	383	8	338	94	25	788	118
2012	41	774	357	8	344	88	28	789	107
2013	50	684	415	7	392	86	24	739	98
2014	34	630	378	5	402	93	17	693	142
2015	34	639	409	9	376	91	14	734	154
2016	34	777	390	10	365	85	40	705	108
2017	32	674	368	10	487	102	15	718	127
2018	35	662	392	11	394	78	17	710	127
2019	36	607	380	12	390	109	27	691	127
