"Wohnviertel_ID"	"Wohnviertel_Name"	"Requisitionen"	"Requisitionen pro 100 Einwohner"
"1"	"Altstadt Grossbasel"	398	15.6
"2"	"Vorstädte"	419	8.3
"3"	"Am Ring"	156	1.4
"4"	"Breite"	95	1.1
"5"	"St. Alban"	227	1.9
"6"	"Gundeldingen"	314	1.7
"7"	"Bruderholz"	46	0.5
"8"	"Bachletten"	102	0.7
"9"	"Gotthelf"	60	0.9
"10"	"Iselin"	162	1.0
"11"	"St. Johann"	310	1.7
"12"	"Altstadt Kleinbasel"	348	14.4
"13"	"Clara"	190	4.7
"14"	"Wettstein"	78	1.4
"15"	"Hirzbrunnen"	145	1.6
"16"	"Rosental"	154	2.0
"17"	"Matthäus"	444	2.9
"18"	"Klybeck"	201	2.8
"19"	"Kleinhüningen"	134	4.8
"20"	"Riehen"	147	0.7
"30"	"Bettingen"	2	0.2

