	Sehr sicher	Eher sicher	Eher unsicher	Ganz unsicher	Geht nachts nie raus	Weiss nicht	Keine Angabe
Männlich	269	387	161	64	10	3	9
Weiblich	224	518	271	95	22	4	27
.							
18-29 Jahre	57	67	20	7	0	2	2
30-39 Jahre	119	139	48	13	0	2	1
40-49 Jahre	101	145	40	15	2	0	2
50-59 Jahre	99	171	69	17	3	1	4
60-69 Jahre	62	171	86	34	3	0	7
>69 Jahre	51	208	163	69	24	2	21
..							
<3 000 Fr.	46	110	56	25	7	0	8
3 000-7 499 Fr.	170	377	197	75	16	3	15
>7 499 Fr.	232	311	106	29	2	2	6
...
2003	504	542	248	87	116	0	0
2005	517	536	255	91	110	1	0
2007	449	565	285	91	118	1	0
2011	436	527	353	107	92	1	0
2015	369	571	335	111	119	1	0
2019	498	926	442	164	32	7	39
