	Zu wenig Präsenz	Genug Präsenz	Zu viel Präsenz	Weiss nicht	Keine Angabe
Generell nachts	641	593	30	353	48
Parks	571	451	52	493	97
Quartier	556	908	57	100	43
Rhein	491	618	93	375	87
Bahnhof SBB	455	801	70	257	83
Claraplatz	367	676	63	475	85
Steinenvorstadt	332	623	50	581	82
Heuwaage	292	620	42	628	87
Barfüsserplatz	238	901	72	370	87
Innerstadt	222	1055	87	222	80
Strassenverkehr	222	983	198	193	72
Grossveranstaltungen	190	926	120	337	93
Messeplatz	187	720	53	616	92
Generell tagsüber	185	1181	75	162	63
