"WOV_ID"	"WOV_NAME"	"Ill. depon. Abfälle pro ha"	"Illegal deponierte Abfälle"
01	Altstadt Grossbasel	0.53	20
02	Vorstädte	0.81	73
03	Am Ring	1.79	164
04	Breite	1.78	122
05	St. Alban	0.25	75
06	Gundeldingen	4.64	540
07	Bruderholz	0.24	62
08	Bachletten	0.8	123
09	Gotthelf	2.24	109
10	Iselin	4.52	494
11	St. Johann	1.86	419
12	Altstadt Kleinbasel	4.56	113
13	Clara	8.17	189
14	Wettstein	1.3	98
15	Hirzbrunnen	0.32	98
16	Rosental	6	380
17	Matthäus	16.71	995
18	Klybeck	4.34	399
19	Kleinhüningen	1.41	191
20	Riehen	0	0
30	Bettingen	0	0
