"Gemeinde/Wohnviertel"		"Requisitionen"	"Requisitionen pro 100 Einwohner"
"1"	"Altstadt Grossbasel"	142	5.6
"2"	"Vorstädte"	153	3.0
"3"	"Am Ring"	62	0.6
"4"	"Breite"	51	0.6
"5"	"St. Alban"	51	0.4
"6"	"Gundeldingen"	116	0.6
"7"	"Bruderholz"	29	0.3
"8"	"Bachletten"	47	0.3
"9"	"Gotthelf"	33	0.5
"10"	"Iselin"	104	0.6
"11"	"St. Johann"	145	0.8
"12"	"Altstadt Kleinbasel"	123	5.1
"13"	"Clara"	108	2.6
"14"	"Wettstein"	39	0.7
"15"	"Hirzbrunnen"	62	0.7
"16"	"Rosental"	81	1.1
"17"	"Matthäus"	221	1.4
"18"	"Klybeck"	82	1.1
"19"	"Kleinhüningen"	55	2.0
"20"	"Riehen"	58	0.3
"30"	"Bettingen"	2	0.2

