"wohnviertel_text_vv"	"wohnviertel_name"	"Vorfälle pro ha"	"Anzahl Vorfälle"
01	Altstadt Grossbasel	3.87	146
02	Vorstädte	1.042	94
03	Am Ring	1.225	112
04	Breite	0.495	34
05	St. Alban	0.211	63
06	Gundeldingen	0.584	68
07	Bruderholz	0.066	17
08	Bachletten	0.209	32
09	Gotthelf	0.595	29
10	Iselin	0.266	29
11	St. Johann	0.399	90
12	Altstadt Kleinbasel	5.042	125
13	Clara	1.296	30
14	Wettstein	0.503	38
15	Hirzbrunnen	0.055	17
16	Rosental	0.363	23
17	Matthäus	2.754	164
18	Klybeck	0.304	28
19	Kleinhüningen	0.044	6
20	Riehen	0.006	6
30	Bettingen	0.004	1
