cities	Obligatorische Schule	Sekundarstufe II	Tertiärstufe	time
Basel	68752.4724483418	216245.032306838	177007.333936387	2019-01-01
Bern	25379.5017671494	100607.692329041	106217.975073133	2019-01-01
Genève	89756.276508053	170928.222524466	230416.82423232	2019-01-01
Lausanne	48027.4561278659	80795.2711626014	109327.968914999	2019-01-01
Zürich	102885.725395207	311814.187127061	383381.528374199	2019-01-01
Frankfurt a. M.	227509	742584	475162	2013-01-01
Freiburg i. Br.	39081	181304	116106	2013-01-01
Karlsruhe	60750	208027	131118	2013-01-01
München	160229	748788	659492	2013-01-01
Stuttgart	207095	720777	501950	2013-01-01
Barcelona	880389	683007	1261482	2019-01-01
Madrid	1144824	931138	1857413	2019-01-01
