cities	1. Sektor	2. Sektor	3. Sektor	time
Basel	4980	118575	347607	2019-01-01
Bern	7563	42201	273164	2019-01-01
Genève	5011	67214	409338	2019-01-01
Lausanne	5044	37960	228532	2019-01-01
Zürich	9027	128201	845295	2019-01-01
Frankfurt a. M.		0	0	2019-01-01
Freiburg i. Br.		0	0	2019-01-01
Karlsruhe		0	0	2019-01-01
München		0	0	2019-01-01
Stuttgart		0	0	2019-01-01
Milano		526453	1373956	2018-01-01
Bologna		93362	200229	2018-01-01
Lisboa	19934	194893	1086172	2018-01-01
Porto	5303	128062	404437	2018-01-01
Barcelona	5865	413267	1942061	2019-01-01
Madrid	17200	505674	3088408	2019-01-01
