cities	Hotelübernachtungen pro Einwohner	Bevölkerung	Hotelübernachtungen	time
Frankfurt a. M.	14.32	753056	10786473	2019-01-01
Freiburg i. Br.	7.91	230241	1822338	2019-01-01
Karlsruhe	3.67	313092	1149181	2019-01-01
München	12.43	1471508	18291939	2019-01-01
Stuttgart	6.44	634830	4086683	2019-01-01
Milano	8.94	1395980	12474208	2019-01-01
Bologna	8.11	393248	3188040	2019-01-01
Lisboa	27.57	507220	13985262	2019-01-01
Porto	21.31	215284	4587237	2019-01-01
Barcelona	13.52	1636762	22135020	2019-01-01
Madrid	6.97	3266126	22751955	2019-01-01
