	Verkehrsunfälle mit Personenschaden	Mit Leichtverletzten	Mit Schwerverletzten	Mit Verkehrstoten
1975	1002	679	310	13
1976	988	678	292	17
1977	967	675	278	16
1978	1029	741	272	17
1979	1034	718	300	20
1980	899	622	265	16
1981	876	608	260	7
1982	868	581	270	17
1983	876	586	281	14
1984	831	582	240	9
1985	775	550	217	10
1986	801	582	212	8
1987	688	485	192	14
1988	764	517	238	12
1989	713	496	210	8
1990	673	465	201	7
1991	662	435	220	9
1992	732	530	191	11
1993	787	579	199	9
1994	864	651	204	9
1995	858	678	171	9
1996	785	611	169	5
1997	820	648	163	9
1998	725	572	144	9
1999	737	557	170	9
2000	660	488	169	3
2001	604	462	130	12
2002	571	436	127	8
2003	577	443	127	7
2004	529	429	96	3
2005	607	469	132	6
2006	572	453	117	2
2007	529	414	112	3
2008	495	395	95	5
2009	472	366	102	4
2010	381	288	89	4
2011	317	228	86	3
2012	256	174	77	5
2013	327	245	80	2
2014	374	286	86	2
2015	391	294	94	3
2016	413	314	95	4
2017	366	280	85	1
2018	391	423	62	5
2019	379	273	104	2
2020	315			
