"Alter"	"Tarif Alleinstehend mit Kind u.a."	"Tarif Alleinstehend"	"Tarif Verheiratet"	"Wohnbevölkerung"
0	1874	0	0	0	0
1	1867	0	0	0	0
2	1888	0	0	0	0
3	1852	0	0	0	0
4	1930	0	0	0	0
5	1905	0	0	0	0
6	1844	0	0	0	0
7	1815	0	0	0	0
8	1717	0	0	0	0
9	1787	0	0	0	0
10	1688	0	0	0	0
11	1712	0	0	0	0
12	1623	0	0	0	0
13	1615	0	0	0	0
14	1581	0	0	0	0
15	1554	0	0	0	0
16	1566	0	0	0	0
17	1558	0	4	0	4
18	1534	0	1313	0	1314
19	1619	0	1334	0	1337
20	1720	0	1344	4	1351
21	2045	10	1476	10	1496
22	2178	5	1460	14	1479
23	2427	15	1542	22	1579
24	2547	25	1472	38	1535
25	2928	20	1670	55	1745
26	3000	31	1675	91	1797
27	3166	41	1793	106	1940
28	3373	56	1844	152	2052
29	3444	63	1865	225	2153
30	3519	96	1877	281	2254
31	3667	114	1822	381	2317
32	3567	154	1739	381	2274
33	3528	164	1642	429	2235
34	3380	208	1533	474	2215
35	3504	234	1452	570	2256
36	3338	235	1315	585	2135
37	3269	278	1250	603	2131
38	3290	277	1221	652	2150
39	3266	287	1162	676	2125
40	3213	289	1128	672	2089
41	3157	315	1081	702	2098
42	2842	277	945	619	1841
43	2806	269	942	628	1839
44	2829	278	941	647	1866
45	2791	275	954	639	1868
46	2657	249	880	651	1780
47	2705	253	937	624	1814
48	2532	232	883	572	1687
49	2508	221	898	604	1723
50	2520	185	942	597	1724
51	2542	166	990	616	1772
52	2693	192	1023	660	1875
53	2737	186	1124	584	1894
54	2718	153	1121	631	1905
55	2894	158	1233	687	2078
56	2847	136	1223	674	2033
57	2901	112	1258	680	2050
58	2738	82	1217	685	1984
59	2639	68	1199	662	1929
60	2536	42	1156	621	1819
61	2593	32	1158	675	1865
62	2367	38	1124	584	1746
63	2248	15	1069	609	1693
64	2170	13	1030	586	1629
65	2171	11	1028	591	1630
66	1926	13	877	529	1419
67	1880	5	892	491	1388
68	1852	7	859	491	1357
69	1803	10	877	459	1346
70	1723	0	845	413	1261
71	1777	0	854	472	1328
72	1737	0	861	472	1336
73	1705	0	834	463	1299
74	1635	0	827	396	1226
75	1600	0	785	424	1209
76	1546	0	760	415	1177
77	1471	0	716	409	1125
78	1482	0	751	399	1150
79	1466	0	798	362	1160
80	1363	0	721	335	1056
81	1232	0	679	309	989
82	1166	0	647	278	925
83	1088	0	618	250	868
84	1098	0	632	254	886
85	952	0	594	182	776
86	969	0	596	205	801
87	842	0	554	168	722
88	725	0	494	129	623
89	730	0	495	134	629
90	619	0	428	104	532
91	542	0	378	103	481
92	465	0	354	66	420
93	390	0	308	40	348
94	292	0	239	26	265
95	202	0	176	18	194
96	154	0	135	11	146
97	127	0	117	4	121
98	76	0	67	5	72
99	60	0	55	3	58
100	29	0	28	0	28
101	18	0	16	0	16
102	8	0	7	0	7
103	9	0	8	0	8
104	3	0	3	0	3
105	3	0	3	0	3
106	1	0	1	0	1
107	0	0	0	0	0
108	0	0	0	0	0
109	0	0	0	0	0
110	0	0	0	0	0
111	0	0	0	0	0
112	0	0	0	0	0
113	0	0	0	0	0
114	0	0	0	0	0
115	0	0	0	0	0





