	Bildung, Kultur	Gesundheits- und Sozialwesen	Sonstige Branchen
Basel-Landschaft (alle Bezirke)			
Basel-Landschaft (alle Bezirke): 2010-2014	2430	5441	35424
Basel-Landschaft (alle Bezirke): 2015-2019	2747	7159	32698
Aargau (Laufenburg, Rheinfelden)			
Aargau (Laufenburg, Rheinfelden): 2010-2014	268	611	5768
Aargau (Laufenburg, Rheinfelden): 2015-2019	327	808	5435
Solothurn (Dorneck, Thierstein)			
Solothurn (Dorneck, Thierstein): 2010-2014	324	400	3112
Solothurn (Dorneck, Thierstein): 2015-2019	275	798	3163
Restliche Schweiz			
Restliche Schweiz: 2010-2014	732	617	7791
Restliche Schweiz: 2015-2019	705	777	7511
