"Jahr"	"Wegpendler in die Nordwestschweiz"	"Wegpendler in die restliche Schweiz"	"Wegpendler ins Ausland"	"Zupendler aus der Nordwestschweiz"	"Zupendler aus der restlichen Schweiz"	"Zupendler aus dem Ausland"	"Saldo"
1990	-12729	-1959	-281	51609	5685	28767	36640
2000	-14294	-2856	-235	47005	7520	29785	29620
2010	-17321	-5129	-269	50213	10598	30482	27494
2011	-16760	-5337	-580	51564	11742	32087	28887
2012	-17692	-5251	-512	52913	9967	33153	29458
2013	-17808	-5754	-478	52015	10869	33642	27975
2014	-19355	-5324	-508	53753	10953	34591	28566
2015	-17901	-6172	-338	53062	11227	34988	28651
2016	-18349	-5731	-453	52931	13000	35742	28398
2017	-19773	-6623	-573	53869	12383	35661	26900
2018	-19192	-5192	-429	49254	9494	34299	24441
2019	-18106	-5098	-587	47226	9571	34380	23435

