"Jahr"	"Benzin-elektrisch: Normal-Hybrid"	"Benzin-elektrisch: Plug-in-Hybrid"	"Diesel-elektrisch: Normal-Hybrid"	"Diesel-elektrisch: Plug-in-Hybrid"	"Elektrisch"	"Anteil (rechte Skala)"
2005	0	0	0	0	0	0
2006	21	0	0	0	0	0.3062117235
2007	56	0	0	0	0	0.7101191986
2008	56	1	0	0	0	0.6979306967
2009	71	0	0	0	0	1.0070921986
2010	69	0	0	0	1	0.8480736613
2011	93	0	0	0	13	1.2982241274
2012	102	1	10	0	15	1.4974262985
2013	133	5	5	4	18	1.9368470478
2014	87	19	3	1	28	1.6899338722
2015	112	17	24	2	36	2.5589496249
2016	100	28	13	1	45	2.5090567557
2017	112	45	2	1	56	2.8139656071
2018	152	43	21	0	83	3.8525963149
