"Codegeo"	"GemeindeDescr"	"Jugendquotient"
08336006	Bad Bellingen	25.2
08336008	Binzen	37.8
08336014	Efringen-Kirchen	31.5
08336019	Eimeldingen	33.6
08336024	Fischingen	35.7
08336034	Hasel	33.6
08336036	Hausen im Wiesental	35.7
08336043	Inzlingen	29.4
08336045	Kandern	33.6
08336050	Lörrach	31.5
08336057	Maulburg	29.4
08336069	Rheinfelden (Baden)	33.6
08336073	Rümmingen	37.8
08336075	Schallbach	37.8
08336081	Schopfheim	33.6
08336082	Schwörstadt	33.6
08336084	Steinen	33.6
08336091	Weil am Rhein	35.7
08336100	Wittlingen	33.6
08336103	Zell im Wiesental	33.6
08336104	Malsburg-Marzell	31.5
08336105	Grenzach-Wyhlen	31.5
08336106	Häg-Ehrsberg	31.5
08336107	Kleines Wiesental	29.4
11042471	Bättwil	33.6
11042472	Büren (SO)	37.8
11042473	Dornach	31.5
11042474	Gempen	39.9
11042475	Hochwald	33.6
11042476	Hofstetten-Flüh	33.6
11042477	Metzerlen-Mariastein	25.2
11042478	Nuglar-St. Pantaleon	31.5
11042479	Rodersdorf	35.7
11042480	Seewen	27.3
11042481	Witterswil	31.5
11102611	Bärschwil	27.3
11102613	Breitenbach	33.6
11102614	Büsserach	35.7
11102616	Fehren	37.8
11102618	Himmelried	29.4
11102619	Kleinlützel	33.6
11102620	Meltingen	33.6
11102621	Nunningen	33.6
11102622	Zullwil	46.2
12002701	Basel	25.2
12002702	Bettingen	33.6
12002703	Riehen	37.8
13012761	Aesch (BL)	31.5
13012762	Allschwil	29.4
13012763	Arlesheim	37.8
13012764	Biel-Benken	42
13012765	Binningen	31.5
13012766	Birsfelden	27.3
13012767	Bottmingen	35.7
13012768	Ettingen	33.6
13012769	Münchenstein	31.5
13012770	Muttenz	31.5
13012771	Oberwil (BL)	35.7
13012772	Pfeffingen	33.6
13012773	Reinach (BL)	31.5
13012774	Schönenbuch	33.6
13012775	Therwil	35.7
13022781	Blauen	31.5
13022782	Brislach	35.7
13022783	Burg im Leimental	33.6
13022784	Dittingen	33.6
13022785	Duggingen	33.6
13022786	Grellingen	27.3
13022787	Laufen	31.5
13022789	Nenzlingen	33.6
13022791	Röschenz	33.6
13022792	Wahlen	31.5
13022793	Zwingen	31.5
13032821	Arisdorf	37.8
13032822	Augst	21
13032823	Bubendorf	31.5
13032824	Frenkendorf	33.6
13032825	Füllinsdorf	31.5
13032826	Giebenach	29.4
13032827	Hersberg	35.7
13032828	Lausen	31.5
13032829	Liestal	31.5
13032830	Lupsingen	42
