"Codegeo"	"GemeindeDescr"	"Anteil der Einpersonenhaushalte nach Gemeinde"
08336006	Bad Bellingen	40.8
08336008	Binzen	25.5
08336014	Efringen-Kirchen	30.6
08336019	Eimeldingen	30.6
08336024	Fischingen	25.5
08336034	Hasel	30.6
08336036	Hausen im Wiesental	30.6
08336043	Inzlingen	35.7
08336045	Kandern	30.6
08336050	Lörrach	40.8
08336057	Maulburg	30.6
08336069	Rheinfelden (Baden)	35.7
08336073	Rümmingen	25.5
08336075	Schallbach	25.5
08336081	Schopfheim	35.7
08336082	Schwörstadt	30.6
08336084	Steinen	35.7
08336091	Weil am Rhein	35.7
08336100	Wittlingen	30.6
08336103	Zell im Wiesental	30.6
08336104	Malsburg-Marzell	30.6
08336105	Grenzach-Wyhlen	35.7
08336106	Häg-Ehrsberg	25.5
08336107	Kleines Wiesental	30.6
11042471	Bättwil	25.5
11042472	Büren (SO)	25.5
11042473	Dornach	40.8
11042474	Gempen	25.5
11042475	Hochwald	20.4
11042476	Hofstetten-Flüh	25.5
11042477	Metzerlen-Mariastein	30.6
11042478	Nuglar-St. Pantaleon	25.5
11042479	Rodersdorf	25.5
11042480	Seewen	35.7
11042481	Witterswil	25.5
11102611	Bärschwil	25.5
11102613	Breitenbach	30.6
11102614	Büsserach	30.6
11102616	Fehren	30.6
11102618	Himmelried	30.6
11102619	Kleinlützel	30.6
11102620	Meltingen	25.5
11102621	Nunningen	30.6
11102622	Zullwil	35.7
12002701	Basel	45.9
12002702	Bettingen	30.6
12002703	Riehen	35.7
13012761	Aesch (BL)	30.6
13012762	Allschwil	40.8
13012763	Arlesheim	35.7
13012764	Biel-Benken	20.4
13012765	Binningen	35.7
13012766	Birsfelden	40.8
13012767	Bottmingen	30.6
13012768	Ettingen	30.6
13012769	Münchenstein	35.7
13012770	Muttenz	35.7
13012771	Oberwil (BL)	30.6
13012772	Pfeffingen	20.4
13012773	Reinach (BL)	30.6
13012774	Schönenbuch	20.4
13012775	Therwil	30.6
13022781	Blauen	25.5
13022782	Brislach	25.5
13022783	Burg im Leimental	35.7
13022784	Dittingen	35.7
13022785	Duggingen	30.6
13022786	Grellingen	30.6
13022787	Laufen	35.7
13022789	Nenzlingen	25.5
13022791	Röschenz	25.5
13022792	Wahlen	25.5
13022793	Zwingen	30.6
13032821	Arisdorf	20.4
13032822	Augst	35.7
13032823	Bubendorf	25.5
13032824	Frenkendorf	35.7
13032825	Füllinsdorf	35.7
13032826	Giebenach	25.5
13032827	Hersberg	25.5
13032828	Lausen	30.6
13032829	Liestal	35.7
13032830	Lupsingen	25.5
13032831	Pratteln	35.7
13032832	Ramlinsburg	20.4
13032833	Seltisberg	25.5
13032834	Ziefen	20.4
13042842	Böckten	25.5
13042843	Buckten	25.5
13042844	Buus	25.5
13042845	Diepflingen	30.6
13042846	Gelterkinden	30.6
13042848	Hemmiken	40.8
13042849	Itingen	25.5
13042850	Känerkinden	30.6
13042853	Maisprach	30.6
13042854	Nusshof	20.4
13042856	Ormalingen	30.6
13042857	Rickenbach (BL)	25.5
13042859	Rümlingen	25.5
13042860	Rünenberg	30.6
13042861	Sissach	30.6
13042862	Tecknau	20.4
13042863	Tenniken	25.5
13042864	Thürnen	30.6
13042865	Wenslingen	30.6
13042866	Wintersingen	25.5
