"Codegeo"	"GemeindeDescr"	"Personenwagen nach Gemeinde"
08336006	Bad Bellingen	622.2
08336008	Binzen	739.5
08336014	Efringen-Kirchen	663
08336019	Eimeldingen	668.1
08336024	Fischingen	652.8
08336034	Hasel	647.7
08336036	Hausen im Wiesental	550.8
08336043	Inzlingen	627.3
08336045	Kandern	622.2
08336050	Lörrach	535.5
08336057	Maulburg	647.7
08336069	Rheinfelden (Baden)	591.6
08336073	Rümmingen	683.4
08336075	Schallbach	647.7
08336081	Schopfheim	571.2
08336082	Schwörstadt	622.2
08336084	Steinen	617.1
08336091	Weil am Rhein	555.9
08336100	Wittlingen	673.2
08336103	Zell im Wiesental	540.6
08336104	Malsburg-Marzell	668.1
08336105	Grenzach-Wyhlen	596.7
08336106	Häg-Ehrsberg	693.6
08336107	Kleines Wiesental	714
11042471	Bättwil	576.3
11042472	Büren (SO)	571.2
11042473	Dornach	489.6
11042474	Gempen	601.8
11042475	Hochwald	657.9
11042476	Hofstetten-Flüh	601.8
11042477	Metzerlen-Mariastein	688.5
11042478	Nuglar-St. Pantaleon	596.7
11042479	Rodersdorf	530.4
11042480	Seewen	683.4
11042481	Witterswil	540.6
11102611	Bärschwil	586.5
11102613	Breitenbach	561
11102614	Büsserach	612
11102616	Fehren	606.9
11102618	Himmelried	657.9
11102619	Kleinlützel	591.6
11102620	Meltingen	586.5
11102621	Nunningen	627.3
11102622	Zullwil	545.7
12002701	Basel	331.5
12002702	Bettingen	459
12002703	Riehen	397.8
13012761	Aesch (BL)	566.1
13012762	Allschwil	443.7
13012763	Arlesheim	504.9
13012764	Biel-Benken	596.7
13012765	Binningen	438.6
13012766	Birsfelden	402.9
13012767	Bottmingen	489.6
13012768	Ettingen	515.1
13012769	Münchenstein	469.2
13012770	Muttenz	464.1
13012771	Oberwil (BL)	494.7
13012772	Pfeffingen	617.1
13012773	Reinach (BL)	515.1
13012774	Schönenbuch	612
13012775	Therwil	484.5
13022781	Blauen	688.5
13022782	Brislach	612
13022783	Burg im Leimental	673.2
13022784	Dittingen	555.9
13022785	Duggingen	540.6
13022786	Grellingen	540.6
13022787	Laufen	494.7
13022789	Nenzlingen	673.2
13022791	Röschenz	586.5
13022792	Wahlen	581.4
13022793	Zwingen	657.9
13032821	Arisdorf	647.7
13032822	Augst	622.2
13032823	Bubendorf	550.8
13032824	Frenkendorf	530.4
13032825	Füllinsdorf	566.1
13032826	Giebenach	673.2
13032827	Hersberg	749.7
13032828	Lausen	545.7
13032829	Liestal	520.2
13032830	Lupsingen	566.1
13032831	Pratteln	515.1
13032832	Ramlinsburg	622.2
13032833	Seltisberg	571.2
13032834	Ziefen	510
13042842	Böckten	647.7
13042843	Buckten	668.1
13042844	Buus	571.2
13042845	Diepflingen	617.1
13042846	Gelterkinden	504.9
13042848	Hemmiken	581.4
13042849	Itingen	540.6
13042850	Känerkinden	668.1
13042853	Maisprach	550.8
13042854	Nusshof	708.9
13042856	Ormalingen	591.6
13042857	Rickenbach (BL)	576.3
13042859	Rümlingen	647.7
13042860	Rünenberg	622.2
13042861	Sissach	520.2
13042862	Tecknau	489.6
13042863	Tenniken	617.1
13042864	Thürnen	540.6
13042865	Wenslingen	586.5
13042866	Wintersingen	678.3
13042867	Wittinsburg	601.8
13042869	Zunzgen	561
13052881	Arboldswil	637.5
13052882	Bennwil	657.9
13052883	Bretzwil	601.8
13052884	Diegten	612
13052886	Hölstein	576.3
13052887	Lampenberg	632.4
13052889	Lauwil	617.1
13052891	Niederdorf	606.9
13052892	Oberdorf (BL)	545.7
