Jahr	Kulturerbe	Kultur, übrige	Kulturerbe CHF	Kultur, übrige DHF	Bevölkerung
2008	426.1	373.1	80568273.7	70541222.5	189080
2009	478.1	347.9	91170539.8	66344510.3	190682
2010	493.3	344.9	94692502.8	66193851.3	191946
2011	506.8	355.2	97386569	68261547.8	192174
2012	572.6	372.5	110452201.6	71847004	192900
2013	515	370.4	100246110.6	72092110	194655
2014	600.6	425.6	117776740.4	83462203.9	196086
2015	655.5	542.1	129130108.1	106802242.5	197005
2016	515.7	464.8	102075348.9	91989692.3	197926
2017	432.5	441.9	85880150.3	87738160.2	198562.5833
