Jahr	Gesamtanzahl Studenten	Internationale Studenten	Schweizer Studenten	Gesamtanzahl Studentinnen	Internationale Studentinnen	Schweizer Studentinnen	Gesamtanzahl Studierende
1900	520	0	377	5	0	5	525
1901	521	0	521	8	0	8	529
1902	550	0	550	10	0	10	560
1903	531	0	531	11	0	11	542
1904	499	0	499	13	0	13	512
1905	528	0	528	11	0	11	539
1906	566	0	566	14	0	14	580
1907	589	0	589	16	0	16	605
1908	600	0	600	21	0	21	621
1909	648	0	648	21	0	21	669
1910	668	0	528	24	0	21	692
1911	743	0	743	29	0	29	772
1912	779	0	779	46	0	46	825
1913	887	0	887	48	0	48	935
1914	901	0	901	58	0	58	959
1915	928	0	928	52	0	52	980
1916	814	0	814	49	0	49	863
1917	857	0	857	58	0	58	915
1918	903	0	903	79	0	79	982
1919	988	0	988	82	0	82	1070
1920	948	171	777	86	10	76	1034
1921	914	136	778	86	11	75	1000
1922	838	115	723	80	11	69	918
1923	901	142	759	104	18	86	1005
1924	975	238	737	142	44	98	1117
1925	981	256	725	134	44	90	1115
1926	1008	275	733	129	37	92	1137
1927	977	269	708	133	43	90	1110
1928	936	274	662	129	35	94	1065
1929	931	266	665	119	35	84	1050
1930	930	299	631	117	44	73	1047
1931	1001	313	688	136	44	92	1137
1932	1048	356	692	158	52	106	1206
1933	1294	521	773	224	100	124	1518
1934	1042	261	781	250	101	149	1292
1935	1235	390	845	253	89	164	1488
1936	1235	331	904	247	74	173	1482
1937	1208	264	944	260	67	193	1468
1938	1342	287	1055	270	69	201	1612
1939	1263	182	1081	249	45	204	1512
1940	1340	123	1217	258	46	212	1598
1941	1446	129	1317	254	33	221	1700
1942	1471	114	1357	307	38	269	1778
1943	1526	137	1389	307	38	269	1833
1944	1618	176	1442	311	38	273	1929
1945	1683	171	1512	305	41	264	1988
1946	1766	271	1495	360	88	272	2126
1947	1767	360	1407	388	119	269	2155
1948	1814	405	1409	366	125	241	2180
1949	1696	362	1334	340	89	251	2036
1950	1683	381	1302	300	78	222	1983
1951	1665	377	1288	310	75	235	1975
1952	1674	396	1278	277	61	216	1951
1953	1692	400	1292	295	74	221	1987
1954	1719	435	1284	287	64	223	2006
1955	1675	462	1213	297	67	230	1972
1956	1683	485	1198	308	65	243	1991
1957	1785	533	1252	313	63	250	2098
1958	1765	539	1226	369	98	271	2134
1959	1879	639	1240	391	121	270	2270
1960	1983	714	1269	438	159	279	2421
1961	2297	849	1448	503	182	321	2800
1962	2347	854	1493	547	185	362	2894
1963	2564	859	1705	630	195	435	3194
1964	2775	875	1900	698	195	503	3473
1965	2964	865	2099	803	219	584	3767
1966	2896	785	2111	823	221	602	3719
1967	2959	734	2225	777	191	586	3736
1968	3169	755	2414	844	204	640	4013
1969	3366	738	2628	948	219	729	4314
1970	3396	658	2738	980	194	786	4376
1971	3496	573	2923	1057	195	862	4553
1972	3626	565	3061	1123	203	920	4749
1973	3732	507	3225	1214	201	1013	4946
1974	3856	474	3382	1294	209	1085	5150
1975	3975	438	3537	1361	204	1157	5336
1976	4010	407	3603	1464	193	1271	5474
1977	3992	370	3622	1549	185	1364	5541
1978	3931	357	3574	1646	194	1452	5577
1979	3924	337	3587	1699	193	1506	5623
1980	3942	343	3599	1773	212	1561	5715
1981	4072	369	3703	1958	263	1695	6030
1982	4241	381	3860	2069	280	1789	6310
1983	4258	411	3847	2190	289	1901	6448
1984	4226	422	3804	2240	304	1936	6466
1985	4183	439	3744	2360	320	2040	6543
1986	4310	485	3825	2366	316	2050	6676
1987	4285	510	3775	2428	327	2101	6713
1988	4200	566	3634	2485	352	2133	6685
1989	4147	610	3537	2615	377	2238	6762
1990	4094	651	3443	2714	408	2306	6808
1991	4271	732	3539	3010	467	2543	7281
1992	4392	780	3612	3149	536	2613	7541
1993	4548	821	3727	3391	600	2791	7939
1994	4579	819	3760	3452	618	2834	8031
1995	4530	830	3700	3461	596	2865	7991
1996	4459	787	3672	3499	606	2893	7958
1997	4431	814	3617	3557	612	2945	7988
1998	4344	798	3546	3572	596	2976	7916
1999	4207	799	3408	3581	608	2973	7788
2000	4032	801	3231	3580	626	2954	7612
2001	3908	763	3145	3758	696	3062	7666
2002	3954	833	3121	4082	801	3281	8036
2003	4199	887	3312	4521	868	3653	8720
2004	4331	938	3393	4897	970	3927	9228
2005	4475	960	3515	5273	1053	4220	9748
2006	4652	1017	3635	5645	1182	4463	10297
2007	4964	1096	3868	6243	1397	4846	11207
2008	5263	1204	4059	6573	1521	5052	11836
2009	5396	1311	4085	6713	1626	5087	12109
2010	5514	1385	4129	6863	1751	5112	12377
2011	5612	1498	4114	7004	1800	5204	12616
2012	5837	1586	4251	7158	1891	5267	12995
2013	5989	1668	4321	7284	1912	5372	13273
2014	5971	1665	4306	7277	1891	5386	13248
2015	5946	1682	4264	7484	1953	5531	13430
2016	5943	1687	4256	7487	1949	5538	13430
2017	5951	1730	4221	7507	1987	5520	13458
2018	5742	1677	4065	7415	1960	5455	13157
2019	5748	1679	4069	7617	2036	5581	13365
2020	5752	1671	4081	7880	2104	5776	13632
