""	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"
"Waren verschiedener Art"	29	28	28	29	29	32	37	38	35	34
"Nahrungs-, Genussmitel, Tabak"	58	61	63	65	63	65	61	64	60	55
"Informatik und Elektronik"	13	15	16	18	19	20	16	15	16	15
"Haushaltsgeräte, Textilien, Möbel"	73	70	66	60	61	55	54	51	47	48
"Verlagsprod., Sport- und Spielwaren"	79	75	70	64	72	66	68	67	66	58
"Bekleidung, Lederwaren"	205	206	214	203	197	188	178	169	166	157
"Apotheken, Körperpflege"	46	43	44	44	45	46	49	50	52	51
"Uhren, Schmuck"	44	43	39	37	36	36	41	38	39	41
"Antiquitäten, Gebrauchtwaren"	29	25	26	23	21	21	19	16	18	17
"Sonstiger Detailhandel"	115	109	107	111	105	99	92	92	93	93

