""	"Veränderung zwischen 2015 und 2020"
"Waren verschiedener Art"	0.1724137931
"Nahrungs-, Genussmitel, Tabak"	-0.1269841270
"Informatik und Elektronik"	-0.2105263158
"Haushaltsgeräte, Textilien, Möbel"	-0.2131147541
"Verlagsprod., Sport- und Spielwaren"	-0.1944444444
"Bekleidung, Lederwaren"	-0.2030456853
"Apotheken, Körperpflege"	0.1333333333
"Uhren, Schmuck"	0.1388888889
"Antiquitäten, Gebrauchtwaren"	-0.1904761905
"Sonstiger Detailhandel"	-0.1142857143
.	
"Total Detailhandel"	-0.1219135802

