Kategorie	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Ganz unzufrieden	Weiss nicht	Keine Angabe
Einkaufsmöglichkeiten Kanton	800	553	67	9	24	48
............						
Einkaufsmöglichkeiten Wohnort	813	537	103	23	4	47
.............						
Grünanlagen	697	587	138	23	7	62
..............						
Öffentliche Sicherheit	526	709	158	51	19	58
...............						
Verkehrssicherheit	424	766	214	34	12	61			
....................						
Sauberkeit	577	583	225	66	3	67
................										
Lärmsituation	404	635	293	101	9	65
