	2018	2019	2020	2021
Parkhaus City: Mo-Fr	0	0	0	1577.6453674
Parkhaus City: Sa	0	0	0	544.94230769
Parkhaus Elisabethen: Mo-Fr	1554.7731629	1513.9968051	1181.8942308	1206.0544872
Parkhaus Elisabethen: Sa	1181	1179.25	812.89423077	902.35576923
Parkhaus Steinen: Mo-Fr	1089.5846645	1140.6166134	921.91401274	989.32692308
Parkhaus Steinen: Sa	943.29807692	986.52884615	765.6407767	805.60784314
Parkhaus Storchen: Mo-Fr	687.19488818	684.34824281	623.04487179	684.83116883
Parkhaus Storchen: Sa	414.14423077	416.5	355.11881188	382.85294118
Total: Mo-Fr	3331.5527157	3338.9616613	2726.8531153	4457.8579465
Total: Sa	2538.4423077	2582.2788462	1933.6538193	2635.7588612
Total (ohne City): Mo-Fr	3331.5527157	3338.9616613	2726.8531153	2880.2125791
Total (ohne City): Sa	2538.4423077	2582.2788462	1933.6538193	2090.81655351
