	Total Importe und Exporte Schweiz  (in Tonnen)	Importe und Exporte über den Rhein  (in Tonnen)	Anteil der Import und Exporte über den Rhein (rechte Skala)
1955	12175630	4587420	37.67706476
1956	14073535	5285221	37.55432448
1957	14361971	5396360	37.57395137
1958	12899721	4868013	37.73735106
1959	14036083	4898351	34.89827611
1960	16912296	6961750	41.16383725
1961	18665673	6817493	36.52422819
1962	20642561	7081578	34.3057143
1963	23055584	8280847	35.91688244
1964	23852551	7529970	31.56882465
1965	24948433	8615250	34.53222894
1966	25096757	8407156	33.49897359
1967	26272654	7912020	30.11503901
1968	28497641	7808613	27.40091013
1969	30932083	8016608	25.91680618
1970	34183695	8924826	26.10842976
1971	35085640	8202264	23.37783777
1972	38171387	7925586	20.76315959
1973	41090666	8448043	20.55951831
1974	39101267	9340192	23.88718504
1975	32482549	8189261	25.21126344
1976	34183896	8291938	24.25685475
1977	35551349	9008501	25.33940695
1978	36944708	8686349	23.51175438
1979	39124333	8581668	21.93434965
1980	40663000	9019507	22.18111551
1981	39204000	8536116	21.77358433
1982	37736000	7371192	19.53358067
1983	41462000	8162831	19.6874994
1984	42381000	8771285	20.6962672
1985	43428000	8101210	18.65434743
1986	45911000	8987339	19.57556795
1987	45922000	8207932	17.87363791
1988	48704000	8452792	17.35543693
1989	51713000	8845162	17.10432967
1990	52757887.17	9194538	17.42779799
1991	51707889.2	8353401	16.15498356
1992	49197295.24	8530910	17.34020124
1993	47473747.4	8283382	17.44834241
1994	50187117.38	8206774	16.35235182
1995	49401698.13	8025094	16.24457114
1996	48979592.57	7160283	14.61891091
1997	54142797.92	7839929	14.48009579
1998	53952459.89	8108747	15.02942964
1999	54652685.07	7447850	13.62760126
2000	58936691.03	8545733	14.49985205
2001	59197731.03	8634148	14.58526847
2002	59098966.58	8254633	13.96747435
2003	59551500.38	7170788	12.04132214
2004	61833298.19	7245629	11.71800504
2005	62268793.27	7260862	11.66051503
2006	66437500.08	6749727	10.15951382
2007	66813254.92	7108230	10.63895182
2008	67754739.94	7212262	10.64466044
2009	63138297.64	6443688	10.20567269
2010	66636814.8	6518276	9.781794073
2011	68745146	5677988	8.259474785
2012	67749602.91	7210548	10.64293766
2013	70113876.43	6829684	9.740844962
2014	70187032.23	5982090	8.52307016
2015	70300062.21	6333838	9.009718911
2016	70498915.32	5896503	8.363962727
2017	72675695.46	5790154	7.967111925
2018	71004029.3	4697981	6.616499157
2019	70842212.49	6065234	8.561610072
2020	66056034.06	5126780.382	7.761259747
2021	68084351.55	5407266.248	7.942010352
